date,PKI_balance_release_m3s,OHU_natural_inflow_m3s,OHU_spill_m3s,OHA_turbine_flow_m3s,OHB_turbine_flow_m3s,OHC_turbine_flow_m3s,RTH_spill_m3s,OHU_release_previous_delta_m3s,junction_residual_previous_delta_m3s,OHU_release_same_day_delta_m3s,junction_residual_same_day_delta_m3s,OHU_release_next_delta_m3s,junction_residual_next_delta_m3s,OHU_release_no_storage_timing_m3s,junction_residual_no_storage_timing_m3s,OHA_minus_RTHspill_minus_OHB_m3s,OHB_minus_OHC_m3s
2024-01-03,231.952704,59.0,12.673611,329.670166,323.7367,322.5873,0.0,45.712963,-52.0045,41.638889,-56.078574,51.627315,-46.090148,46.326389,-51.391074,5.933466,1.1494
2024-01-04,234.873296,58.0,12.638889,223.568708,226.2065,225.4262,0.0,40.673611,51.9782,50.662037,61.966626,50.361111,61.6657,45.361111,56.6657,-2.637792,0.7803
2024-01-05,135.517056,56.0,12.673611,262.841812,259.4738,258.3064,0.0,48.627315,-78.697441,48.326389,-78.998367,31.891204,-95.433552,43.326389,-83.998367,3.368012,1.1674
2024-01-06,224.446259,56.0,12.696759,193.271036,194.2288,193.6446,0.0,48.303241,79.478464,31.868056,63.043279,43.627315,74.802539,43.303241,74.478464,-0.957764,0.5842
2024-01-07,169.331,50.0,12.696759,258.356468,257.3843,255.853,0.0,25.868056,-63.157413,37.627315,-51.398153,33.298611,-55.726857,37.303241,-51.722228,0.972168,1.5313
2024-01-08,220.59213,55.0,12.673611,281.874344,281.669,279.8071,0.0,42.650463,-18.631751,38.321759,-22.960455,52.673611,-8.608603,42.326389,-18.955825,0.205344,1.8619
2024-01-09,195.727556,36.0,12.685185,284.165051,288.0313,286.205,0.0,19.310185,-69.12731,33.662037,-54.775458,14.472222,-73.965273,23.314815,-65.12268,-3.866249,1.8263
2024-01-10,294.386278,60.0,12.708333,296.861674,289.9572,287.5207,0.0,57.638889,55.163492,38.449074,35.973677,53.194444,50.719048,47.291667,44.81627,6.904474,2.4365
2024-01-11,208.135648,32.0,12.673611,285.154393,285.9532,284.2484,0.0,10.483796,-66.534949,25.229167,-51.789579,19.546296,-57.472449,19.326389,-57.692356,-0.798807,1.7048
2024-01-12,232.32187,45.0,12.696759,304.232962,307.6597,305.9872,0.0,38.206019,-33.705074,32.523148,-39.387944,33.888889,-38.022203,32.303241,-39.607851,-3.426738,1.6725
2024-01-13,265.295648,56.0,12.696759,273.295597,266.1255,263.7515,0.0,43.523148,35.523199,44.888889,36.88894,48.962963,40.963014,43.303241,35.303291,7.170097,2.374
2024-01-14,149.636704,70.0,12.685185,182.189045,183.3352,182.425,0.0,58.900463,26.348121,62.974537,30.422195,42.75463,10.202288,57.314815,24.762473,-1.146155,0.9102
2024-01-15,178.199037,77.0,12.719907,303.559137,313.0938,311.7168,0.0,69.939815,-55.420285,49.719907,-75.640193,75.136574,-50.223526,64.280093,-61.080007,-9.534663,1.377
2024-01-16,310.125574,50.0,12.719907,389.121739,405.1706,403.4037,0.0,22.719907,-56.276257,48.136574,-30.859591,48.831019,-30.165146,37.280093,-41.716072,-16.048861,1.7669
2024-01-17,312.208796,42.0,12.650463,384.660122,400.739,398.8875,0.0,40.206019,-32.245307,40.900463,-31.550862,63.354167,-9.097159,29.349537,-43.101788,-16.078878,1.8515
2024-01-18,323.432574,48.0,12.534722,388.510351,399.7197,398.2992,0.0,47.016204,-18.061573,69.469907,4.392131,35.037037,-30.04074,35.465278,-29.612499,-11.209349,1.4205
2024-01-19,440.560981,311.0,12.638889,404.863564,410.0618,409.4061,0.0,332.365741,368.063158,297.93287,333.630287,-33.479167,2.21825,298.361111,334.058528,-5.198236,0.6557
2024-01-20,542.605241,516.0,12.835648,314.622479,312.2336,310.5869,0.0,502.736111,730.718873,171.324074,399.306836,419.298611,647.281373,503.164352,731.147113,2.388879,1.6467
2024-01-21,-101.124296,147.0,12.766204,331.112972,326.8271,325.0503,0.0,-197.606481,-629.84375,50.368056,-381.869213,215.18287,-217.054398,134.233796,-298.003472,4.285872,1.7768
