date,dispatchable_requirement_mwh,modeled_waitaki_hydro_mwh,modeled_thermal_backstop_mwh,observed_waitaki_hydro_mwh,observed_thermal_mwh,rolling_window_days,TKA_natural_inflow_mm3,TKA_release_mm3,TKA_spill_mm3,TKA_storage_mm3,TKA_observed_storage_mm3,PKI_natural_inflow_mm3,PKI_release_mm3,PKI_spill_mm3,PKI_storage_mm3,PKI_observed_storage_mm3,OHA_natural_inflow_mm3,OHA_release_mm3,OHA_spill_mm3,OHA_storage_mm3,OHA_observed_storage_mm3
2024-01-01,20346.947,20346.947,0.0,11797.967,8548.98,60,11.147155,10.045037,0.0,137.487118,136.385,23.900918,0.0,0.0,1634.333918,1610.433,6.048,14.908818,0.0,13.311182,22.172
2024-01-02,23287.112,23287.112,0.0,13939.435,9347.677,60,7.489325,10.045037,0.0,134.931406,144.224,18.593798,1.271699,0.0,1651.656018,1619.527,5.0112,18.322382,0.0,0.0,22.225
2024-01-03,33056.541,33056.541,0.0,22420.688,10635.853,60,6.988723,10.045037,0.0,131.875093,147.474,14.13599,25.378095,0.0,1640.413914,1620.611,5.0976,5.0976,0.0,0.0,22.63
2024-01-04,29366.939,29366.939,0.0,18560.245,10806.694,60,6.093619,10.045037,0.0,127.923675,146.604,15.059434,20.38563,0.0,1635.087718,1621.471,5.0112,5.0112,0.0,0.0,22.172
2024-01-05,33702.494,33702.494,0.0,20397.112,13305.382,60,5.543165,10.045037,0.0,123.421803,145.324,9.924509,26.474142,0.0,1618.538085,1625.23,4.8384,4.8384,0.0,0.0,21.74
2024-01-06,28847.568,28847.568,0.0,15412.399,13435.169,60,6.61081,10.045037,0.0,119.987576,144.565,13.655347,19.812855,0.0,1612.380577,1626.104,4.8384,4.8384,0.0,0.0,22.728
2024-01-07,32012.426,32012.426,0.0,18043.519,13968.907,60,5.665334,10.045037,0.0,115.607874,144.234,11.772864,26.325102,0.0,1597.828339,1628.912,4.32,2.157073,0.0,2.162927,22.7
2024-01-08,39310.736,36272.115166,3038.620834,21188.958,18121.778,60,5.894726,10.045037,0.0,111.457563,142.645,11.225434,33.915283,0.0,1575.13849,1626.973,4.752,0.0,0.0,6.914927,23.046
2024-01-09,39341.598,36272.115166,3069.482834,20585.413,18756.185,60,5.045414,10.045037,0.0,106.457941,142.064,10.521446,33.915283,0.0,1551.744653,1625.629,3.1104,0.0,0.0,10.025327,22.152
2024-01-10,44805.515,36272.115166,8533.399834,24649.852,20155.663,60,4.804186,10.045037,0.0,101.21709,139.671,12.911789,33.915283,0.0,1530.741158,1617.91,5.184,0.0,0.0,15.209327,22.916
2024-01-11,40871.716,36272.115166,4599.600834,21213.377,19658.339,60,5.89127,10.045037,0.0,97.063323,139.241,11.09065,33.915283,0.0,1507.916525,1616.909,2.7648,0.0,0.0,17.974127,22.406
2024-01-12,43048.166,36272.115166,6776.050834,23246.635,19801.531,60,4.073069,10.045037,0.0,91.091355,136.671,11.026541,33.915283,0.0,1485.027782,1611.936,3.888,0.0,0.0,21.862127,22.387
2024-01-13,35078.847,35078.847,0.0,18666.398,16412.449,60,4.500576,10.045037,0.0,85.546894,133.287,13.423968,25.332349,0.0,1473.119401,1606.939,4.8384,8.582934,0.0,18.117593,22.25
2024-01-14,31719.153,31719.153,0.0,16766.116,14953.037,60,6.132845,10.045037,0.0,81.634702,130.768,13.657766,8.112446,0.0,1478.664722,1613.801,6.048,24.165593,0.0,0.0,21.761
2024-01-15,40842.146,36272.115166,4570.030834,24755.965,16086.181,60,7.132579,10.045037,0.0,78.722245,128.973,14.405818,33.915283,0.0,1459.155256,1619.943,6.6528,0.0,0.0,6.6528,23.019
