scenario_incremental_solar_gwh,date,dispatchable_requirement_mwh,incremental_solar_mwh,incremental_solar_used_mwh,modeled_waitaki_hydro_mwh,modeled_thermal_backstop_mwh,observed_waitaki_hydro_mwh,observed_thermal_mwh,common_route_unused_capacity_mm3,TKA_natural_inflow_mm3,TKA_release_mm3,TKA_route_generation_mwh,TKA_forced_spill_mm3,TKA_storage_mm3,TKA_observed_storage_mm3,TKA_q25_target_mm3,TKA_median_target_mm3,PKI_natural_inflow_mm3,PKI_release_mm3,PKI_route_generation_mwh,PKI_forced_spill_mm3,PKI_storage_mm3,PKI_observed_storage_mm3,PKI_q25_target_mm3,PKI_median_target_mm3,OHA_natural_inflow_mm3,OHA_release_mm3,OHA_route_generation_mwh,OHA_forced_spill_mm3,OHA_storage_mm3,OHA_observed_storage_mm3,OHA_q25_target_mm3,OHA_median_target_mm3
0.0,2024-01-01,20346.947,0.0,0.0,20346.947,0.0,11797.967,8548.98,16.042931,11.147155,0.0,0.0,0.0,147.532155,136.385,298.36,395.885,23.900918,27.917389,20346.947,0.0,1606.416529,1610.433,1402.642,1699.801,6.048,0.0,0.0,0.0,28.22,22.172,21.894,23.379
0.0,2024-01-02,23287.112,0.0,0.0,23287.112,0.0,13939.435,9347.677,12.008825,7.489325,0.0,0.0,0.0,155.02148,144.224,299.038,399.705,18.593798,31.951495,23287.112,0.0,1593.058833,1619.527,1413.31,1727.428,5.0112,0.0,0.0,0.0,33.2312,22.225,22.151,23.786
0.0,2024-01-03,33056.541,0.0,0.0,32039.468145,1017.072855,22420.688,10635.853,0.0,6.988723,0.0,0.0,0.0,162.010203,147.474,300.871,402.512,14.13599,43.96032,32039.468145,0.0,1563.234503,1620.611,1424.068,1750.604,5.0976,0.0,0.0,0.0,38.3288,22.63,22.307,24.072
0.0,2024-01-04,29366.939,0.0,0.0,29366.939,0.0,18560.245,10806.694,3.666891,6.093619,0.0,0.0,0.0,168.103822,146.604,301.426,413.288,15.059434,18.604429,13559.410197,0.0,1559.689508,1621.471,1434.784,1754.389,5.0112,21.689,15807.528803,0.0,21.651,22.172,21.651,24.075
0.0,2024-01-05,33702.494,0.0,0.0,32039.468145,1663.025855,20397.112,13305.382,0.0,5.543165,0.0,0.0,0.0,173.646987,145.324,313.57,425.403,9.924509,43.96032,32039.468145,0.0,1525.653697,1625.23,1449.602,1748.861,4.8384,0.0,0.0,0.0,26.4894,21.74,21.29,23.604
0.0,2024-01-06,28847.568,0.0,0.0,28847.568,0.0,15412.399,13435.169,4.379503,6.61081,0.0,0.0,0.0,180.257797,144.565,325.103,433.352,13.655347,39.580817,28847.568,0.0,1499.728227,1626.104,1456.676,1744.266,4.8384,0.0,0.0,0.0,31.3278,22.728,22.024,23.87
0.0,2024-01-07,32012.426,0.0,0.0,32012.426,0.0,18043.519,13968.907,0.037104,5.665334,0.0,0.0,0.0,185.923131,144.234,325.276,435.063,11.772864,29.757416,21688.008483,0.0,1481.743675,1628.912,1468.727,1748.034,4.32,14.1658,10324.417517,0.0,21.482,22.7,21.482,24.102
0.0,2024-01-08,39310.736,0.0,0.0,9810.090381,29500.645619,21188.958,18121.778,30.500212,5.894726,0.0,0.0,0.0,191.817858,142.645,325.481,433.577,11.225434,8.595108,6264.347026,0.0,1484.374,1626.973,1484.374,1763.415,4.752,4.865,3545.743355,0.0,21.369,23.046,21.369,23.263
0.0,2024-01-09,39341.598,0.0,0.0,2644.475887,36697.122113,20585.413,18756.185,40.33192,5.045414,0.0,0.0,0.0,196.863272,142.064,329.272,431.71,10.521446,0.0,0.0,0.0,1494.895446,1625.629,1510.305,1787.022,3.1104,3.6284,2644.475887,0.0,20.851,22.152,20.851,24.577
0.0,2024-01-10,44805.515,0.0,0.0,5881.076483,38924.438517,24649.852,20155.663,35.891085,4.804186,0.0,0.0,0.0,201.667458,139.671,338.438,449.351,12.911789,2.917235,2126.159779,0.0,1504.89,1617.91,1504.89,1804.423,5.184,5.152,3754.916704,0.0,20.883,22.916,20.883,23.643
0.0,2024-01-11,40871.716,0.0,0.0,16109.590862,24762.125138,21213.377,19658.339,21.85687,5.89127,0.0,0.0,0.0,207.558728,139.241,345.992,453.78,11.09065,20.07365,14630.217817,0.0,1495.907,1616.909,1495.907,1824.92,2.7648,2.0298,1479.373045,0.0,21.618,22.406,21.618,23.607
0.0,2024-01-12,43048.166,0.0,0.0,20682.317929,22365.848071,23246.635,19801.531,15.582779,4.073069,0.0,0.0,0.0,211.631797,136.671,345.105,449.152,11.026541,24.078541,17549.090656,0.0,1482.855,1611.936,1482.855,1848.031,3.888,4.299,3133.227273,0.0,21.207,22.387,21.207,23.9
0.0,2024-01-13,35078.847,0.0,0.0,17879.852172,17198.994828,18666.398,16412.449,19.427952,4.500576,0.0,0.0,0.0,216.132373,133.287,345.247,448.415,13.423968,19.802968,14432.937759,0.0,1476.476,1606.939,1476.476,1882.232,4.8384,4.7294,3446.914414,0.0,21.316,22.25,21.316,24.283
0.0,2024-01-14,31719.153,0.0,0.0,9162.64279,22556.51021,16766.116,14953.037,31.388554,6.132845,0.0,0.0,0.0,222.265218,130.768,344.435,448.09,13.657766,6.583766,4798.426714,0.0,1483.55,1613.801,1483.55,1898.634,6.048,5.988,4364.216076,0.0,21.376,21.761,21.376,24.439
0.0,2024-01-15,40842.146,0.0,0.0,7280.703027,33561.442973,24755.965,16086.181,33.970702,7.132579,0.0,0.0,0.0,229.397797,128.973,343.522,447.6,14.405818,3.750818,2733.697139,0.0,1494.205,1619.943,1494.205,1906.715,6.6528,6.2388,4547.005888,0.0,21.79,23.019,21.79,24.249
0.0,2024-01-16,45617.861,0.0,0.0,5464.225921,40153.635079,28572.55,17045.311,36.463032,6.183562,0.0,0.0,0.0,235.581358,128.37,342.534,448.26,15.534288,2.839288,2069.349755,0.0,1506.9,1614.761,1506.9,1917.631,4.32,4.658,3394.876166,0.0,21.452,22.081,21.452,23.616
0.0,2024-01-17,51898.987,0.0,0.0,3090.080715,48808.906285,32336.319,19562.668,39.72052,6.050938,0.0,0.0,0.0,241.632296,126.275,341.241,452.429,13.224902,0.0,0.0,0.0,1520.124902,1606.837,1523.248,1919.161,3.6288,4.2398,3090.080715,0.0,20.841,21.083,20.841,23.643
0.0,2024-01-18,53680.24,0.0,0.0,2932.945613,50747.294387,33867.339,19812.901,39.93612,5.948122,0.0,0.0,0.0,247.580418,123.642,344.676,457.703,14.273453,0.0,0.0,0.0,1534.398355,1598.89,1569.26,1915.919,4.1472,4.0242,2932.945613,0.0,20.964,18.145,20.964,24.503
0.0,2024-01-19,46323.502,0.0,0.0,19439.565275,26883.936725,27642.364,18681.138,17.28792,27.190512,0.0,0.0,0.0,274.77093,128.293,349.789,461.66,32.563469,0.0,0.0,0.0,1566.961824,1604.396,1604.396,1915.312,26.8704,26.6724,19439.565275,0.0,21.162,18.182,21.162,23.823
0.0,2024-01-20,35387.731,0.0,0.0,32039.468145,3348.262855,22388.467,12999.264,0.0,52.911706,0.0,0.0,0.0,327.682635,167.253,352.046,465.031,99.170093,0.0,0.0,0.0,1666.131917,1667.686,1628.785,1942.098,44.5824,43.96032,32039.468145,0.0,21.78408,46.853,21.014,23.665
0.0,2024-01-21,40195.282,0.0,0.0,32039.468145,8155.813855,25787.45,14407.832,0.0,22.83336,0.0,0.0,0.0,350.515995,195.59,354.842,465.11,59.414861,43.96032,32039.468145,0.0,1681.586458,1746.831,1641.671,1949.572,12.7008,0.0,0.0,0.0,34.48488,54.099,21.155,23.351
0.0,2024-01-22,46444.13,0.0,0.0,32039.468145,14404.661855,27986.855,18457.275,0.0,15.467414,0.0,0.0,0.0,365.98341,206.842,359.167,464.653,36.73849,21.47384,15650.714386,0.0,1696.851107,1783.981,1637.74,1940.063,9.8496,22.48648,16388.753759,0.0,21.848,47.105,21.848,23.608
0.0,2024-01-23,36061.272,0.0,0.0,36061.272,0.0,23534.848,12526.424,0.289291,23.163149,10.045037,11553.741057,0.0,379.101522,222.651,365.766,464.35,41.240621,15.398392,11222.763918,0.0,1722.693336,1810.618,1704.79,1957.9,18.0576,18.2276,13284.767025,0.0,21.678,44.571,21.678,24.778
0.0,2024-01-24,34974.055,0.0,0.0,32039.468145,2934.586855,28663.646,6310.409,0.0,15.870298,0.0,0.0,0.0,394.971819,236.417,390.367,465.084,31.068317,33.88492,24696.244589,0.0,1719.876733,1842.396,1709.624,2009.821,10.0224,10.0754,7343.223556,0.0,21.625,41.748,21.625,23.972
0.0,2024-01-25,35649.024,0.0,0.0,31800.471085,3848.552915,29005.51,6643.514,6.135398,11.125469,10.045037,11553.741057,0.0,396.052251,240.877,394.774,466.04,21.215952,21.654685,15782.518887,0.0,1719.438,1858.212,1719.438,2045.073,5.8752,6.1252,4464.21114,0.0,21.375,34.807,21.375,23.52
