date,TKA_generation_mwh,TKA_implied_turbine_flow_m3s,TKB_generation_mwh,TKB_implied_turbine_flow_m3s,OHA_generation_mwh,OHA_implied_turbine_flow_m3s,OHB_generation_mwh,OHB_implied_turbine_flow_m3s,OHC_generation_mwh,OHC_implied_turbine_flow_m3s,BEN_generation_mwh,BEN_implied_turbine_flow_m3s,AVI_generation_mwh,AVI_implied_turbine_flow_m3s,WTK_generation_mwh,WTK_implied_turbine_flow_m3s,BEN_derived_tributary_flow_m3s,AVI_derived_tributary_flow_m3s,WTK_derived_tributary_flow_m3s
2024-01-01,0.0,0.0,0.0,0.0,1848.255,153.867229,1581.19,158.119,1576.132,157.6132,4094.405,208.644055,1832.922,246.298894,865.063,222.213058,32.802,2.723,6.462
2024-01-02,128.513,23.057374,801.999,26.011501,2464.236,205.147647,2059.965,205.9965,2055.1,205.51,3942.438,200.90007,1603.848,215.517075,883.336,226.906935,28.559,2.37,5.626
2024-01-03,315.935,56.684005,1896.277,61.502584,3960.002,329.670166,3237.367,323.7367,3225.873,322.5873,6377.557,324.989675,2343.337,314.885909,1064.34,273.402337,25.019,2.077,4.929
2024-01-04,418.038,75.002984,2514.596,81.55673,2685.51,223.568708,2262.065,226.2065,2254.262,225.4262,5403.69,275.363036,1952.422,262.356706,1069.662,274.769426,23.928,1.986,4.714
2024-01-05,408.475,73.287223,2473.674,80.229493,3157.259,262.841812,2594.738,259.4738,2583.064,258.3064,5419.487,276.168025,2477.775,332.951016,1282.64,329.47815,22.717,1.886,4.475
2024-01-06,279.004,50.057968,1635.986,53.060479,2321.574,193.271036,1942.288,194.2288,1936.446,193.6446,4557.064,232.220386,1788.051,240.269353,951.986,244.541404,22.45,1.863,4.423
2024-01-07,432.33,77.567207,2539.353,82.359682,3103.381,258.356468,2573.843,257.3843,2558.53,255.853,4346.477,221.489224,1631.991,219.298791,857.614,220.299596,21.375,1.774,4.211
2024-01-08,286.754,51.448447,2321.185,75.283767,3385.878,281.874344,2816.69,281.669,2798.071,279.8071,5882.518,299.763313,2439.098,327.753794,1258.764,323.345002,20.795,1.726,4.097
2024-01-09,356.607,63.981239,2049.499,66.472084,3413.394,284.165051,2880.313,288.0313,2862.05,286.205,5714.577,291.20532,2219.644,298.264662,1089.329,279.821387,20.733,1.721,4.084
2024-01-10,413.063,74.110387,2389.67,77.504964,3565.906,296.861674,2899.572,289.9572,2875.207,287.5207,7514.726,382.937912,3238.524,435.176663,1753.184,450.34914,20.233,1.679,3.986
