date,modeled_waitaki_hydro_mwh,gas_mwh,coal_mwh,diesel_mwh,shortage_mwh,gas_stock_pj,TKA_storage_mm3,TKA_observed_storage_mm3,PKI_storage_mm3,PKI_observed_storage_mm3,OHA_storage_mm3,OHA_observed_storage_mm3
2024-01-01,11849.606022,8497.340978,0.0,0.0,0.0,5.020421,147.532155,136.385,1618.075456,1610.433,28.22,22.172
2024-01-02,2925.689668,20361.422332,0.0,0.0,0.0,4.955421,155.02148,144.224,1632.655011,1619.527,33.2312,22.225
2024-01-03,12695.118668,20361.422332,0.0,0.0,0.0,4.890421,162.010203,147.474,1629.372438,1620.611,38.3288,22.63
2024-01-04,9005.516668,20361.422332,0.0,0.0,0.0,4.825421,168.103822,146.604,1632.075693,1621.471,43.34,22.172
2024-01-05,13341.071668,20361.422332,0.0,0.0,0.0,4.760421,173.646987,145.324,1623.695348,1625.23,48.1784,21.74
2024-01-06,8486.145668,20361.422332,0.0,0.0,0.0,4.695421,180.257797,144.565,1625.707129,1626.104,53.0168,22.728
2024-01-07,11651.003668,20361.422332,0.0,0.0,0.0,4.630421,185.923131,144.234,1621.494027,1628.912,57.3368,22.7
2024-01-08,18949.313668,20361.422332,0.0,0.0,0.0,4.565421,191.817858,142.645,1606.719719,1626.973,62.0888,23.046
2024-01-09,18980.175668,20361.422332,0.0,0.0,0.0,4.500421,196.863272,142.064,1591.199079,1625.629,65.1992,22.152
2024-01-10,24444.092668,20361.422332,0.0,0.0,0.0,4.435421,201.667458,139.671,1570.571917,1617.91,70.3832,22.916
2024-01-11,20510.293668,20361.422332,0.0,0.0,0.0,4.370421,207.558728,139.241,1553.521055,1616.909,73.148,22.406
2024-01-12,22686.743668,20361.422332,0.0,0.0,0.0,4.305421,211.631797,136.671,1533.419847,1611.936,77.036,22.387
2024-01-13,14717.424668,20361.422332,0.0,0.0,0.0,4.240421,216.132373,133.287,1526.650512,1606.939,81.8744,22.25
2024-01-14,11357.730668,20361.422332,0.0,0.0,0.0,4.175421,222.265218,130.768,1524.724703,1613.801,87.9224,21.761
2024-01-15,20480.723668,20361.422332,0.0,0.0,0.0,4.110421,229.397797,128.973,1511.02958,1619.943,94.5752,23.019
2024-01-16,25256.438668,20361.422332,0.0,0.0,0.0,4.045421,235.581358,128.37,1526.563868,1614.761,64.241656,22.081
2024-01-17,31537.564668,20361.422332,0.0,0.0,0.0,3.980421,241.632296,126.275,1496.517096,1606.837,67.870456,21.083
2024-01-18,33318.817668,20361.422332,0.0,0.0,0.0,3.915421,244.544229,123.642,1469.866417,1598.89,72.017656,18.145
2024-01-19,25962.079668,20361.422332,0.0,0.0,0.0,3.850421,271.734741,128.293,1466.808155,1604.396,98.888056,18.182
2024-01-20,15026.308668,20361.422332,0.0,0.0,0.0,3.785421,324.646447,167.253,1565.978248,1667.686,122.853343,46.853
2024-01-21,19833.859668,20361.422332,0.0,0.0,0.0,3.720421,347.479807,195.59,1625.393108,1746.831,108.340744,54.099
2024-01-22,26082.707668,20361.422332,0.0,0.0,0.0,3.655421,362.947221,206.842,1662.131598,1783.981,82.403103,47.105
2024-01-23,15699.849668,20361.422332,0.0,0.0,0.0,3.590421,386.11037,222.651,1681.830962,1810.618,100.460703,44.571
2024-01-24,14612.632668,20361.422332,0.0,0.0,0.0,3.525421,401.980668,236.417,1708.555816,1842.396,94.777044,41.748
2024-01-25,15287.601668,20361.422332,0.0,0.0,0.0,3.460421,413.106137,240.877,1729.771768,1858.212,79.676619,34.807
2024-01-26,16337.716668,20361.422332,0.0,0.0,0.0,3.395421,421.671919,243.069,1727.997743,1865.047,85.379019,24.736
2024-01-27,5789.026668,20361.422332,0.0,0.0,0.0,3.330421,450.135967,256.826,1756.632678,1881.002,111.731019,27.564
2024-01-28,8243.973668,20361.422332,0.0,0.0,0.0,3.265421,468.582713,276.417,1787.688665,1924.232,122.790219,29.921
2024-01-29,7774.856668,20361.422332,0.0,0.0,0.0,3.200421,480.335877,285.81,1815.146239,1956.856,120.244189,25.081
2024-01-30,13742.503668,20361.422332,0.0,0.0,0.0,3.135421,489.831842,292.597,1834.612764,1969.527,108.473344,24.328
2024-01-31,19367.708668,20361.422332,0.0,0.0,0.0,3.070421,497.554447,294.187,1852.024092,1972.288,89.329936,24.425
2024-02-01,15428.542668,20361.422332,0.0,0.0,0.0,3.005421,504.927132,293.78,1867.649446,1971.317,74.122531,23.025
2024-02-02,9674.962668,20361.422332,0.0,0.0,0.0,2.940421,512.771647,294.924,1883.078412,1966.178,67.759827,21.127
2024-02-03,2766.097668,20361.422332,0.0,0.0,0.0,2.875421,520.305468,296.973,1891.941516,1964.769,73.548627,20.862
2024-02-04,4406.573668,20361.422332,0.0,0.0,0.0,2.810421,526.787801,299.452,1900.623143,1968.765,79.337427,20.882
2024-02-05,8900.799668,20361.422332,0.0,0.0,0.0,2.745421,532.539189,299.968,1910.177341,1970.833,72.136127,21.014
2024-02-06,6126.487668,20361.422332,0.0,0.0,0.0,2.680421,538.219989,297.7,1919.919287,1966.046,68.395771,20.548
2024-02-07,17399.550668,20361.422332,0.0,0.0,0.0,2.615421,543.581801,294.126,1931.259201,1962.123,48.583209,20.962
2024-02-08,20411.054668,20361.422332,0.0,0.0,0.0,2.550421,549.141209,289.993,1943.384231,1954.878,24.89786,22.001
2024-02-09,19317.898668,20361.422332,0.0,0.0,0.0,2.485421,554.943919,286.208,1928.942884,1951.305,29.73626,21.929
2024-02-10,9664.056668,20361.422332,0.0,0.0,0.0,2.420421,559.990543,282.227,1940.520571,1946.403,20.450919,21.93
2024-02-11,6917.075668,20361.422332,0.0,0.0,0.0,2.355421,565.242626,281.922,1941.324348,1942.596,24.684519,21.649
2024-02-12,20824.423668,20361.422332,0.0,0.0,0.0,2.290421,568.995583,279.003,1950.675679,1931.565,0.0,21.783
2024-02-13,20470.668668,20361.422332,0.0,0.0,0.0,2.225421,573.788105,273.937,1933.636331,1917.2,0.0,21.882
2024-02-14,19537.315668,20361.422332,0.0,0.0,0.0,2.160421,578.517295,268.532,1915.71199,1906.064,4.1472,22.057
2024-02-15,18690.679668,20361.422332,0.0,0.0,0.0,2.095421,582.309909,263.478,1896.570353,1899.336,8.5536,21.094
2024-02-16,23421.063668,20361.422332,0.0,0.0,0.0,2.030421,590.811583,258.795,1894.927701,1896.079,0.0,23.352
