date,modeled_waitaki_hydro_mwh,observed_waitaki_hydro_mwh,gas_mwh,coal_mwh,diesel_mwh,shortage_mwh,TKA_storage_mm3,TKA_observed_storage_mm3,PKI_storage_mm3,PKI_observed_storage_mm3,OHA_storage_mm3,OHA_observed_storage_mm3
2024-01-01,20346.947,11797.967,0.0,0.0,0.0,0.0,147.532155,136.385,1346.641214,1610.433,28.22,22.172
2024-01-02,1575.646,13939.435,21711.466,0.0,0.0,0.0,155.02148,144.224,1363.07312,1619.527,33.2312,22.225
2024-01-03,11345.075,22420.688,21711.466,0.0,0.0,0.0,162.010203,147.474,1361.642899,1620.611,38.3288,22.63
2024-01-04,29366.939,18560.245,0.0,0.0,0.0,0.0,168.103822,146.604,1336.408903,1621.471,43.34,22.172
2024-01-05,32039.468145,20397.112,0.0,1663.025855,0.0,0.0,173.646987,145.324,1315.809075,1625.23,34.742417,21.74
2024-01-06,28847.568,15412.399,0.0,0.0,0.0,0.0,180.257797,144.565,1329.464423,1626.104,0.0,22.728
2024-01-07,0.0,18043.519,21711.466,10300.96,0.0,0.0,185.923131,144.234,1341.237287,1628.912,4.32,22.7
2024-01-08,3736.901502,21188.958,19316.111498,16257.723,0.0,0.0,191.817858,142.645,1347.335438,1626.973,9.072,23.046
2024-01-09,26133.939068,20585.413,0.0,13207.658932,0.0,0.0,196.863272,142.064,1321.99935,1625.629,12.1824,22.152
2024-01-10,36272.115166,24649.852,8533.399834,0.0,0.0,0.0,191.622421,139.671,1300.995856,1617.91,17.3664,22.916
2024-01-11,36272.115166,21213.377,0.0,4599.600834,0.0,0.0,187.468654,139.241,1278.171222,1616.909,20.1312,22.406
2024-01-12,36272.115166,23246.635,6776.050834,0.0,0.0,0.0,181.496686,136.671,1255.28248,1611.936,24.0192,22.387
2024-01-13,13367.381,18666.398,21711.466,0.0,0.0,0.0,185.997262,133.287,1250.365496,1606.939,28.8576,22.25
2024-01-14,31719.153,16766.116,0.0,0.0,0.0,0.0,192.130107,130.768,1220.502437,1613.801,34.9056,21.761
2024-01-15,19130.68,24755.965,21711.466,0.0,0.0,0.0,199.262686,128.973,1208.659666,1619.943,41.5584,23.019
2024-01-16,36272.115166,28572.55,0.0,9345.745834,0.0,0.0,195.401211,128.37,1190.278671,1614.761,45.8784,22.081
2024-01-17,30187.521,32336.319,21711.466,0.0,0.0,0.0,201.452149,126.275,1162.08425,1606.837,49.5072,21.083
2024-01-18,36272.115166,33867.339,1150.401834,16257.723,0.0,0.0,197.355234,123.642,1142.442419,1598.89,53.6544,18.145
2024-01-19,24612.036,27642.364,21711.466,0.0,0.0,0.0,224.545746,128.293,1141.236508,1604.396,80.5248,18.182
2024-01-20,35387.731,22388.467,0.0,0.0,0.0,0.0,269.51126,167.253,1204.392472,1667.686,125.1072,46.853
2024-01-21,18483.816,25787.45,21711.466,0.0,0.0,0.0,292.34462,195.59,1244.590086,1746.831,131.6642,54.099
2024-01-22,32039.468145,27986.855,0.0,14404.661855,0.0,0.0,307.812034,206.842,1237.368255,1783.981,141.5138,47.105
2024-01-23,36061.272,23534.848,0.0,0.0,0.0,0.0,321.430525,222.651,1244.193214,1810.618,159.5714,44.571
2024-01-24,13262.589,28663.646,21711.466,0.0,0.0,0.0,337.300823,236.417,1257.064361,1842.396,169.5938,41.748
2024-01-25,0.0,29005.51,19391.301,16257.723,0.0,0.0,348.426291,240.877,1278.280313,1858.212,175.469,34.807
2024-01-26,32039.468145,28542.686,0.0,4659.670855,0.0,0.0,356.992074,243.069,1286.553191,1865.047,149.58063,24.736
2024-01-27,9892.726,18879.436,0.0,16257.723,0.0,0.0,385.456122,256.826,1323.131063,1881.002,162.35914,27.564
2024-01-28,28605.396,20931.061,0.0,0.0,0.0,0.0,403.902867,276.417,1365.49834,1924.232,134.1698,29.921
2024-01-29,6424.813,21096.408,21711.466,0.0,0.0,0.0,415.656032,285.81,1384.140636,1956.856,142.2914,25.081
2024-01-30,12392.46,24830.806,21711.466,0.0,0.0,0.0,425.151997,292.597,1386.603866,1969.527,149.3762,24.328
2024-01-31,36272.115166,28921.861,0.0,3350.195834,106.82,0.0,422.829565,294.187,1370.099911,1972.288,156.8066,24.425
2024-02-01,35789.965,27845.727,0.0,0.0,0.0,0.0,421.301465,293.78,1350.665729,1971.317,162.7682,23.025
2024-02-02,8324.919,22543.765,21711.466,0.0,0.0,0.0,429.145981,294.924,1354.672343,1966.178,169.6802,21.127
2024-02-03,1416.054,16338.446,21711.466,0.0,0.0,0.0,436.679801,296.973,1365.387798,1964.769,175.469,20.862
2024-02-04,24767.996,17878.876,0.0,0.0,0.0,0.0,443.162134,299.452,1365.658575,1968.765,161.7314,20.882
2024-02-05,29262.222,21936.206,0.0,0.0,0.0,0.0,448.913523,299.968,1335.063023,1970.833,166.7426,21.014
2024-02-06,26487.91,19464.202,0.0,0.0,0.0,0.0,454.594323,297.7,1308.461762,1966.046,171.4082,20.548
2024-02-07,16049.507,26719.213,21711.466,0.0,0.0,0.0,459.956134,294.126,1297.780665,1962.123,175.469,20.962
2024-02-08,36272.115166,29467.873,4436.761834,0.0,63.6,0.0,455.470505,289.993,1309.905696,1954.878,145.873717,22.001
2024-02-09,17967.855,29231.232,21711.466,0.0,0.0,0.0,461.273216,286.208,1297.3167,1951.305,150.712117,21.929
2024-02-10,30025.479,20852.84,0.0,0.0,0.0,0.0,466.31984,282.227,1308.894387,1946.403,113.489526,21.93
