date,modeled_headwater_hydro_mwh,lower_tributary_potential_mwh,lower_tributary_used_mwh,modeled_total_waitaki_hydro_mwh,observed_waitaki_hydro_mwh,shortage_mwh,TKA_storage_mm3,TKA_observed_storage_mm3,PKI_storage_mm3,PKI_observed_storage_mm3,OHA_storage_mm3,OHA_observed_storage_mm3
2024-01-01,19275.419494,1071.527506,1071.527506,20346.947,11797.967,0.0,147.532155,136.385,972.059307,1610.433,28.22,22.172
2024-01-02,0.0,932.914138,932.914138,932.914138,13939.435,0.0,155.02148,144.224,990.653105,1619.527,33.2312,22.225
2024-01-03,10527.789069,817.285931,817.285931,11345.075,22420.688,0.0,162.010203,147.474,990.344256,1620.611,38.3288,22.63
2024-01-04,28585.29744,781.64156,781.64156,29366.939,18560.245,0.0,168.103822,146.604,966.182726,1621.471,43.34,22.172
2024-01-05,27102.47542,742.086704,742.086704,27844.562124,20397.112,0.0,173.646987,145.324,938.920803,1625.23,48.1784,21.74
2024-01-06,0.0,733.357603,733.357603,733.357603,15412.399,0.0,180.257797,144.565,952.57615,1626.104,53.0168,22.728
2024-01-07,9602.71708,698.24292,698.24292,10300.96,18043.519,0.0,185.923131,144.234,951.173436,1628.912,57.3368,22.7
2024-01-08,16919.970981,679.299019,679.299019,17599.27,21188.958,0.0,191.817858,142.645,939.183524,1626.973,62.0888,23.046
2024-01-09,32039.468145,677.272299,677.272299,32716.740444,20585.413,0.0,196.863272,142.064,905.74465,1625.629,65.1992,22.152
2024-01-10,32039.468145,660.935389,660.935389,32700.403534,24649.852,0.0,201.667458,139.671,874.696119,1617.91,70.3832,22.916
2024-01-11,36272.115166,642.44403,642.44403,36914.559196,21213.377,0.0,197.513691,139.241,863.576722,1616.909,61.442764,22.406
2024-01-12,32039.468145,641.991488,641.991488,32681.459633,23246.635,0.0,201.58676,136.671,874.603263,1611.936,21.370444,22.387
2024-01-13,12742.535082,624.845918,624.845918,13367.381,18666.398,0.0,206.087336,133.287,870.543609,1606.939,26.208844,22.25
2024-01-14,31059.064671,660.088329,660.088329,31719.153,16766.116,0.0,212.220181,130.768,841.586236,1613.801,32.256844,21.761
2024-01-15,23810.55927,773.86373,773.86373,24584.423,24755.965,0.0,219.35276,128.973,823.322354,1619.943,38.909644,23.019
2024-01-16,32039.468145,768.120062,768.120062,32807.588207,28572.55,0.0,225.536322,128.37,794.896322,1614.761,43.229644,22.081
2024-01-17,32039.468145,666.423601,666.423601,32705.891746,32336.319,0.0,231.587259,126.275,764.160904,1606.837,46.858444,21.083
2024-01-18,31327.470886,641.303114,641.303114,31968.774,33867.339,0.0,237.535381,123.642,778.434357,1598.89,8.022232,18.145
2024-01-19,32039.468145,941.867736,941.867736,32981.335881,27642.364,0.0,264.725893,128.293,767.037506,1604.396,34.892632,18.182
2024-01-20,16613.783949,2516.224051,2516.224051,19130.008,22388.467,0.0,317.637598,167.253,843.412362,1667.686,79.475032,46.853
2024-01-21,36272.115166,2919.2899,2919.2899,39191.405066,25787.45,0.0,330.425922,195.59,868.911939,1746.831,92.175832,54.099
2024-01-22,36272.115166,1752.191938,1752.191938,38024.307104,27986.855,0.0,335.848299,206.842,871.735146,1783.981,102.025432,47.105
2024-01-23,0.0,1824.126758,1824.126758,1824.126758,23534.848,0.0,359.011448,222.651,912.975767,1810.618,120.083032,44.571
2024-01-24,11085.703177,2176.885823,2176.885823,13262.589,28663.646,0.0,374.881746,236.417,944.044083,1842.396,114.895097,41.748
2024-01-25,33761.165728,1887.858272,1887.858272,35649.024,29005.51,0.0,381.921233,240.877,965.260035,1858.212,80.895958,34.807
2024-01-26,32039.468145,1477.405218,1477.405218,33516.873363,28542.686,0.0,390.487016,243.069,985.902464,1865.047,42.638038,24.736
2024-01-27,23798.798422,2351.650578,2351.650578,26150.449,18879.436,0.0,418.951064,256.826,1022.480336,1881.002,36.336475,27.564
2024-01-28,0.0,2926.061984,2926.061984,2926.061984,20931.061,0.0,437.397809,276.417,1064.847613,1924.232,47.395675,29.921
2024-01-29,13586.614114,2253.713359,2253.713359,15840.327473,21096.408,0.0,449.150974,285.81,1092.305187,1956.856,36.87552,25.081
2024-01-30,32039.468145,1806.188604,1806.188604,33845.656749,24830.806,0.0,458.646939,292.597,1111.771712,1969.527,0.0,24.328
2024-01-31,139.662163,1513.459837,1513.459837,1653.122,28921.861,0.0,466.369544,294.187,1129.18304,1972.288,7.238774,24.425
2024-02-01,34455.899736,1334.065264,1334.065264,35789.965,27845.727,0.0,468.007485,293.78,1112.976816,1971.317,6.806375,23.025
2024-02-02,7000.685353,1324.233647,1324.233647,8324.919,22543.765,0.0,475.852,294.924,1118.800368,1966.178,13.718375,21.127
2024-02-03,21806.562093,1320.957907,1320.957907,23127.52,16338.446,0.0,483.385821,296.973,1101.538666,1964.769,19.507175,20.862
2024-02-04,23541.305055,1226.690945,1226.690945,24767.996,17878.876,0.0,489.868154,299.452,1083.966145,1968.765,25.295975,20.882
2024-02-05,28187.209485,1075.012515,1075.012515,29262.222,21936.206,0.0,495.619543,299.968,1054.845584,1970.833,30.307175,21.014
2024-02-06,25489.102458,998.807542,998.807542,26487.91,19464.202,0.0,501.300343,297.7,1064.587529,1966.046,0.0,20.548
2024-02-07,36272.115166,942.915776,942.915776,37215.030942,26719.213,0.0,496.617117,294.126,1042.01216,1962.123,4.0608,20.962
2024-02-08,18154.381782,906.629218,906.629218,19061.011,29467.873,0.0,502.176525,289.993,1029.228149,1954.878,8.3808,22.001
2024-02-09,36272.115166,857.981702,857.981702,37130.096868,29231.232,0.0,497.934199,286.208,1007.376984,1951.305,13.2192,21.929
2024-02-10,7482.296594,831.716406,831.716406,8314.013,20852.84,0.0,502.980823,282.227,1008.688453,1946.403,17.1936,21.93
2024-02-11,4744.427878,822.604122,822.604122,5567.032,18577.156,0.0,508.232906,281.922,1012.47325,1942.596,21.4272,21.649
2024-02-12,32039.468145,805.945946,805.945946,32845.414091,27792.556,0.0,511.985863,279.003,977.864261,1931.565,25.3152,21.783
2024-02-13,32039.468145,768.185872,768.185872,32807.654017,28397.821,0.0,516.778384,273.937,941.322936,1917.2,28.944,21.882
2024-02-14,12246.732635,735.519493,735.519493,12982.252128,26297.573,0.0,521.507575,268.532,933.401769,1906.064,33.0912,22.057
2024-02-15,16619.167693,721.468307,721.468307,17340.636,25364.651,0.0,525.300189,263.478,917.102387,1899.336,37.4976,21.094
2024-02-16,36272.115166,847.724609,847.724609,37119.839775,26872.172,0.0,523.756826,258.795,896.658938,1896.079,45.9648,23.352
2024-02-17,10758.24462,867.58138,867.58138,11625.826,19798.821,0.0,532.78312,259.236,899.857865,1900.428,51.3216,23.056
2024-02-18,5193.244385,797.684615,797.684615,5990.929,16319.434,0.0,539.677495,258.531,911.089531,1915.108,56.0736,22.397
2024-02-19,14421.336548,735.550452,735.550452,15156.887,22950.0,0.0,545.000426,256.478,904.464052,1927.866,59.5296,21.898
2024-02-20,22480.134118,710.491882,710.491882,23190.626,29408.366,0.0,550.631546,252.572,888.198317,1924.852,64.2816,22.631
2024-02-21,25768.455528,681.712472,681.712472,26450.168,27351.682,0.0,554.757319,249.909,865.433409,1917.381,67.9104,22.81
2024-02-22,27832.773115,662.609885,662.609885,28495.383,28722.075,0.0,559.815088,247.39,837.069158,1900.915,71.5392,22.151
2024-02-23,21824.414015,656.591985,656.591985,22481.006,25504.107,0.0,564.215786,243.806,816.455957,1883.987,75.3408,22.1
2024-02-24,0.0,656.762006,656.762006,656.762006,20867.145,0.0,568.649488,242.507,827.623243,1870.009,80.8704,22.571
2024-02-25,36272.115166,753.349544,753.349544,37025.46471,21453.267,0.0,567.588928,245.08,807.222303,1858.792,89.1648,26.065
2024-02-26,32039.468145,791.21028,791.21028,32830.678425,26026.228,0.0,574.715978,247.694,781.567378,1861.866,93.5712,24.242
2024-02-27,36272.115166,704.05984,704.05984,36976.175006,26303.337,0.0,570.445312,244.289,765.165115,1862.5,97.8912,26.159
2024-02-28,33524.918114,685.804313,685.804313,34210.722427,25290.399,0.0,571.954874,240.749,737.520763,1858.293,101.3472,28.484
2024-02-29,36272.115166,671.22344,671.22344,36943.338606,24602.308,0.0,566.587274,237.658,715.60307,1853.886,105.2352,29.912
2024-03-01,20166.139173,619.972827,619.972827,20786.112,21442.062,0.0,570.637188,234.807,697.7126,1844.9,108.3456,30.843
2024-03-02,8467.71146,605.10554,605.10554,9072.817,14284.344,0.0,575.725284,232.612,697.484957,1844.348,112.6656,31.473
2024-03-03,28670.717984,599.068016,599.068016,29269.786,13775.125,0.0,579.670308,228.857,671.132624,1852.611,115.6896,31.217
2024-03-04,11785.683314,632.484686,632.484686,12418.168,17303.75,0.0,585.210362,227.428,666.608847,1860.123,121.824,31.703
2024-03-05,9555.456385,682.497615,682.497615,10237.954,19635.717,0.0,591.513674,226.397,664.743247,1858.793,126.0576,32.65
2024-03-06,14534.443548,687.297454,687.297454,15221.741002,22461.918,0.0,597.092782,226.188,663.61135,1854.968,121.390849,30.305
2024-03-07,15904.277248,651.304752,651.304752,16555.582,20049.357,0.0,601.015342,224.897,672.081229,1850.585,103.370704,29.199
2024-03-08,36272.115166,624.548169,624.548169,36896.663335,20975.367,0.0,594.749009,223.743,646.408851,1840.322,106.826704,28.107
2024-03-09,0.0,608.509008,608.509008,608.509008,16183.332,0.0,598.668804,219.165,653.141657,1842.076,109.418704,26.322
2024-03-10,31751.216603,597.857397,597.857397,32349.074,16373.378,0.0,602.52233,212.992,617.018643,1847.475,113.479504,25.413
2024-03-11,0.0,585.801973,585.801973,585.801973,19440.532,0.0,606.092206,208.157,623.000633,1847.388,115.207504,24.569
2024-03-12,5423.40205,580.24795,580.24795,6003.65,21703.863,0.0,609.384132,203.854,630.492982,1835.681,110.876629,24.991
2024-03-13,17547.938039,576.561961,576.561961,18124.5,19716.32,0.0,613.184263,199.812,636.375526,1825.933,89.82367,25.33
2024-03-14,3747.80565,551.53435,551.53435,4299.34,19605.502,0.0,616.9437,196.265,644.432067,1818.504,87.878227,25.406
2024-03-15,36272.115166,549.650585,549.650585,36821.765751,17814.073,0.0,610.347146,193.606,652.656828,1814.87,56.986943,24.677
2024-03-16,18045.918296,558.886704,558.886704,18604.805,15464.92,0.0,613.699898,192.902,659.954777,1811.086,35.423521,25.185
2024-03-17,9802.345172,558.793828,558.793828,10361.139,15263.853,0.0,616.103201,191.087,666.252992,1809.804,24.56604,23.629
2024-03-18,17887.363561,543.110439,543.110439,18430.474,19324.823,0.0,619.296804,190.015,646.525217,1799.785,26.89884,22.333
2024-03-19,21493.720518,535.537482,535.537482,22029.258,21598.029,0.0,622.58899,187.231,651.046529,1786.529,0.0,21.875
2024-03-20,23330.987616,506.228384,506.228384,23837.216,21907.633,0.0,625.811537,184.378,623.901832,1772.261,2.6784,21.693
2024-03-21,23198.382433,514.524567,514.524567,23712.907,22854.3,0.0,624.969312,180.546,602.567029,1759.307,5.2704,21.641
2024-03-22,8098.181508,492.219492,492.219492,8590.401,23302.079,0.0,620.709819,175.084,606.664635,1747.772,7.4304,21.677
2024-03-23,19427.931253,496.597747,496.597747,19924.529,19555.872,0.0,613.593829,172.531,610.250806,1731.417,0.0,21.736
2024-03-24,22909.793766,507.342234,507.342234,23417.136,16990.032,0.0,606.227797,168.536,602.545756,1722.957,0.0,21.758
2024-03-25,36272.115166,536.024876,536.024876,36808.140042,18163.446,0.0,599.16693,167.232,577.035292,1716.231,5.4432,21.138
2024-03-26,36272.115166,740.125794,740.125794,37012.24096,19522.865,0.0,592.253634,164.929,549.852556,1712.976,14.8608,23.279
2024-03-27,5551.58024,1015.43476,1015.43476,6567.015,21297.118,0.0,594.334062,166.584,560.993836,1713.024,22.464,21.231
2024-03-28,36272.115166,1021.549429,1021.549429,37293.664595,18019.462,0.0,589.029793,167.794,562.316349,1707.061,0.394342,20.637
2024-03-29,15178.592709,931.092291,931.092291,16109.685,16625.588,0.0,582.790158,168.615,571.344458,1701.802,0.0,20.029
2024-03-30,0.0,812.080239,812.080239,812.080239,14586.364,0.0,585.762491,170.296,579.309587,1695.668,4.2336,20.122
2024-03-31,28138.533967,746.229128,746.229128,28884.763095,16405.894,0.0,579.320334,362.911,563.289613,1686.216,8.1216,20.812
2024-04-01,19253.84505,695.43495,695.43495,19949.28,22056.537,0.0,572.261195,361.675,558.333032,1675.609,11.7504,21.637
2024-04-02,35223.259327,694.58789,694.58789,35917.847217,26431.912,0.0,565.339259,358.903,531.506546,1663.348,15.12,22.125
2024-04-03,27192.742258,668.287742,668.287742,27861.03,22450.892,0.0,558.528174,356.496,514.467274,1644.112,18.576,22.01
2024-04-04,4031.851906,647.967094,647.967094,4679.819,21124.112,0.0,557.46162,354.286,520.712525,1632.172,24.192,22.595
2024-04-05,36272.115166,674.329159,674.329159,36946.444325,22341.716,0.0,551.420964,352.43,520.108934,1620.334,0.0,22.938
2024-04-06,36272.115166,674.920764,674.920764,36947.03593,16612.751,0.0,545.041879,352.088,496.169309,1610.682,0.0,21.712
2024-04-07,36272.115166,655.021699,655.021699,36927.136865,17019.206,0.0,538.113722,352.998,468.981216,1610.073,2.0736,17.754
2024-04-08,25124.440699,615.014301,615.014301,25739.455,24273.839,0.0,531.703706,352.042,457.54563,1605.332,4.4928,10.041
2024-04-09,36272.115166,620.723118,620.723118,36892.838284,20191.874,0.0,525.004078,352.055,432.806977,1595.192,8.7264,5.901
2024-04-10,4181.158197,1497.586803,1497.586803,5678.745,21767.415,0.0,542.645419,359.236,457.083649,1599.434,41.5584,13.754
2024-04-11,13851.290258,3248.699742,3248.699742,17099.99,22654.417,0.0,581.377157,389.619,529.36148,1642.164,83.1168,31.301
2024-04-12,11872.105617,5220.084383,5220.084383,17092.19,23587.928,0.0,626.899589,443.974,627.45816,1738.992,120.2688,61.202
2024-04-13,23448.601267,5262.392733,5262.392733,28710.994,17856.453,0.0,640.532559,471.643,678.035337,1815.892,124.770646,67.916
2024-04-14,3912.733069,3860.120931,3860.120931,7772.854,19822.747,0.0,652.134202,483.078,707.858112,1860.736,138.249046,66.262
