snapshot_month,captured_date,status,technology,expected_commissioning_year,capacity_mw,timing
2026-08,2026-08-24,Other / early-stage,BESS,2023,200,known
2026-08,2026-08-24,Other / early-stage,BESS,2024,55,known
2026-08,2026-08-24,Other / early-stage,BESS,2025,312,known
2026-08,2026-08-24,Other / early-stage,BESS,2026,650,known
2026-08,2026-08-24,Other / early-stage,BESS,2027,291,known
2026-08,2026-08-24,Other / early-stage,BESS,2028,1340,known
2026-08,2026-08-24,Other / early-stage,BESS,2029,620,known
2026-08,2026-08-24,Other / early-stage,BESS,Unknown,3060,unknown
2026-08,2026-08-24,Other / early-stage,Gas,Unknown,360,unknown
2026-08,2026-08-24,Other / early-stage,Geothermal,2025,50,known
2026-08,2026-08-24,Other / early-stage,Geothermal,Unknown,56,unknown
2026-08,2026-08-24,Other / early-stage,Hydro,2026,21,known
2026-08,2026-08-24,Other / early-stage,Hydro,2032,40,known
2026-08,2026-08-24,Other / early-stage,Hydro,Unknown,59,unknown
2026-08,2026-08-24,Other / early-stage,Offshore wind,2031,4910,known
2026-08,2026-08-24,Other / early-stage,Offshore wind,2032,810,known
2026-08,2026-08-24,Other / early-stage,Offshore wind,2033,810,known
2026-08,2026-08-24,Other / early-stage,Offshore wind,2036,1000,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2023,300,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2024,238,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2025,226,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2026,530,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2027,2180,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2028,1510,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2029,238,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2030,904,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2031,500,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2032,150,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,2033,300,known
2026-08,2026-08-24,Other / early-stage,Onshore wind,Unknown,2940,unknown
2026-08,2026-08-24,Other / early-stage,Utility solar,2022,86,known
2026-08,2026-08-24,Other / early-stage,Utility solar,2023,539,known
2026-08,2026-08-24,Other / early-stage,Utility solar,2024,1060,known
2026-08,2026-08-24,Other / early-stage,Utility solar,2025,832,known
2026-08,2026-08-24,Other / early-stage,Utility solar,2026,1390,known
2026-08,2026-08-24,Other / early-stage,Utility solar,2027,1930,known
2026-08,2026-08-24,Other / early-stage,Utility solar,2028,2400,known
2026-08,2026-08-24,Other / early-stage,Utility solar,2029,2320,known
2026-08,2026-08-24,Other / early-stage,Utility solar,2031,320,known
2026-08,2026-08-24,Other / early-stage,Utility solar,2033,400,known
2026-08,2026-08-24,Other / early-stage,Utility solar,Unknown,5010,unknown
2026-08,2026-08-24,Other / early-stage,Pumped hydro,2030,40,known
2026-08,2026-08-24,Actively pursued,BESS,2027,200,known
2026-08,2026-08-24,Actively pursued,BESS,2028,77,known
2026-08,2026-08-24,Actively pursued,Offshore wind,2031,810,known
2026-08,2026-08-24,Actively pursued,Onshore wind,2028,165,known
2026-08,2026-08-24,Actively pursued,Onshore wind,2031,105,known
2026-08,2026-08-24,Actively pursued,Utility solar,2025,200,known
2026-08,2026-08-24,Actively pursued,Utility solar,2026,192,known
2026-08,2026-08-24,Actively pursued,Utility solar,2027,293,known
2026-08,2026-08-24,Actively pursued,Utility solar,2028,77,known
2026-08,2026-08-24,Actively pursued,Utility solar,2029,300,known
2026-08,2026-08-24,Actively pursued,Utility solar,Unknown,510,unknown
2026-08,2026-08-24,Committed,BESS,2026,100,known
2026-08,2026-08-24,Committed,Geothermal,2025,100,known
2026-08,2026-08-24,Committed,Geothermal,2026,190,known
2026-08,2026-08-24,Committed,Onshore wind,2026,155,known
2026-08,2026-08-24,Committed,Onshore wind,2028,330,known
2026-08,2026-08-24,Committed,Utility solar,2025,57,known
2026-08,2026-08-24,Committed,Utility solar,2026,302,known
2026-08,2026-08-24,Committed,Utility solar,2027,214,known
2026-08,2026-08-24,Committed,Utility solar,2028,414,known
