snapshot_month,captured_date,technology,status,capacity_mw,source_rows
2026-08,2026-08-24,BESS,Actively pursued,277.0,2
2026-08,2026-08-24,BESS,Committed,100.0,1
2026-08,2026-08-24,BESS,Other / early-stage,6528.0,8
2026-08,2026-08-24,Gas,Other / early-stage,360.0,1
2026-08,2026-08-24,Geothermal,Committed,290.0,2
2026-08,2026-08-24,Geothermal,Other / early-stage,106.0,2
2026-08,2026-08-24,Hydro,Other / early-stage,120.0,3
2026-08,2026-08-24,Offshore wind,Actively pursued,810.0,1
2026-08,2026-08-24,Offshore wind,Other / early-stage,7530.0,4
2026-08,2026-08-24,Onshore wind,Actively pursued,270.0,2
2026-08,2026-08-24,Onshore wind,Committed,485.0,2
2026-08,2026-08-24,Onshore wind,Other / early-stage,10016.0,12
2026-08,2026-08-24,Pumped hydro,Other / early-stage,40.0,1
2026-08,2026-08-24,Utility solar,Actively pursued,1572.0,6
2026-08,2026-08-24,Utility solar,Committed,987.0,4
2026-08,2026-08-24,Utility solar,Other / early-stage,16287.0,11
