project_name,technology,capacity_mw,stage,region,location,customer_or_developer,expected_connection_or_need_date,raw_project_id,raw_parent_project_id,raw_customer,raw_project_name,raw_region,raw_connection_location_substation_or_circuit,raw_max_mw,raw_connection_voltage,raw_technology,raw_transpower_stage,raw_status_flag,raw_stage_complete,raw_status,raw_consented,raw_estimated_connection_livening_date,raw_column_16,raw_status_flag_key,raw_column_18,raw_column_19,raw_column_20,raw_column_21,raw_column_22,raw_column_23,raw_column_24,raw_column_25,raw_column_26,raw_column_27,raw_column_28,raw_column_29
00037564,BESS,100.0,Commissioning,Waikato,Waihou,Harmony Energy NZ #10 Limited,,00037564,0,Harmony Energy NZ #10 Limited,Waihou (Tauhei) 33kV Solar Farm,Waikato,Waihou,100,33,BESS,Commissioning,● ,1,Transpower Scope Complete,Application Submitted,2028-06-16 00:00:00,,●      Progressing normally,,,,,,,,,,,,
00037567,Solar,115.0,Delivery,Bay of Plenty,Edgecumbe,Edgecumbe Solar Project LP (Genesis Energy),,00037567,0,Edgecumbe Solar Project LP (Genesis Energy),Edgecumbe Solar Farm (Genesis Energy),Bay of Plenty,Edgecumbe,115,33,Solar,Delivery,● ,0.96,Construction,Consent Granted,2026-08-31 00:00:00,,●C  Awaiting customer action,,,,,,,,,,,,
00037570,Solar,130.0,Commissioning,Northland,Bream Bay,Meridian Energy Limited,,00037570,0,Meridian Energy Limited,Ruakākā (Stage 2) TOPS,Northland,Bream Bay,130,33,Solar,Commissioning,● ,0.87,Transpower Scope Complete,Consent Granted,2026-08-01 00:00:00,,●T   Awaiting Transpower action,,,,,,,,,,,,
00037566,Solar,200.0,Delivery,Hawkes Bay,WRK_WHI,TM Solar Limited,,00037566,0,TM Solar Limited,Te Rahui Solar Farm (Stage 1),Hawkes Bay,WRK_WHI,200,220,Solar,Delivery,● ,0.85,Construction,Consent Granted,2026-11-02 00:00:00,,●     On hold,,,,,,,,,,,,
00037574,Geothermal,190.0,Delivery,Central North Island,Te Mihi,Contact Energy Limited,,00037574,0,Contact Energy Limited,Te Mihi Stage II,Central North Island,Te Mihi,190(!132),220,Geothermal,Delivery,● ,0.72,Detailed Design,Consent Granted,2026-09-30 00:00:00,,,,,,,,,,,,,,
38476,Solar,200.0,Delivery,Hawkes Bay,WRK_WHI,TM Solar Limited,,38476,37566,TM Solar Limited,Te Rahui Solar Farm (Stage 2),Hawkes Bay,WRK_WHI,200,220,Solar,Delivery,●C,0.58,Detailed Design,Consent Granted,2026-11-02 00:00:00,,,,,,,,,,,,,,
00037577,Wind - Onshore,93.0,Delivery,Canterbury,Waipara,MainPower New Zealand Limited,,00037577,0,MainPower New Zealand Limited,Mt Cass Wind Farm,Canterbury,Waipara,93,66,Wind - Onshore,Delivery,● ,0.5,Detailed Design,Consent Granted,2027-05-30 00:00:00,,,,,,,,,,,,,,
00037579,Solar,214.0,Delivery,Waikato,HLY_OTA,Rangiriri Solar Farm Limited,,00037579,0,Rangiriri Solar Farm Limited,Rangiriri Solar Farm (Genesis Energy),Waikato,HLY_OTA,214,220,Solar,Delivery,● ,0.47,Detailed Design,Consent Granted,2029-07-31 00:00:00,,,,,,,,,,,,,,
00037573,Solar,300.0,Delivery,South-Canterbury,BEN_ISL-A,Far North Solar Farm Limited,,00037573,0,Far North Solar Farm Limited,The Point Solar Farm,South-Canterbury,BEN_ISL-A,300,220,Solar,Delivery,●C,0.39,Detailed Design,Application Submitted,2027-11-01 00:00:00,,,,,,,,,,,,,,
00037589,Solar,100.0,Delivery,Wellington,Masterton,Harmony Energy NZ #2 Limited,,00037589,0,Harmony Energy NZ #2 Limited,Masterton Solar Farm (Harmony),Wellington,Masterton,100,110,Solar,Delivery,● ,0.35,Detailed Design,Consent Granted,2027-10-01 00:00:00,,,,,,,,,,,,,,
