date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2024-06-01,145.6012,142.641,151.7812,146.6745
2024-06-02,192.0933,195.8527,197.429,195.125
2024-06-03,196.4948,194.489,198.4415,196.4751
2024-06-04,286.3888,280.5969,280.0271,282.3376
2024-06-05,303.2269,291.616,294.6887,296.5106
2024-06-06,290.2581,281.6023,281.3125,284.391
2024-06-07,285.9506,281.8696,277.5823,281.8008
2024-06-08,252.3288,259.4733,263.144,258.3153
2024-06-09,262.2431,269.7098,280.765,270.906
2024-06-10,210.3142,204.8121,211.424,208.8501
2024-06-11,257.5633,250.0979,249.8346,252.4986
2024-06-12,302.489,301.4604,296.5669,300.1721
2024-06-13,282.9463,284.7608,288.144,285.2837
2024-06-14,275.5027,276.614,279.6404,277.2524
2024-06-15,219.9906,223.616,238.9562,227.521
2024-06-16,244.4306,249.0685,255.1031,249.5341
2024-06-17,277.3244,276.9502,276.0679,276.7808
2024-06-18,239.4294,231.23,234.9721,235.2105
2024-06-19,263.4437,255.8567,258.1488,259.1497
2024-06-20,271.2717,268.8517,270.5279,270.2171
2024-06-21,279.0358,278.3098,275.7538,277.6998
2024-06-22,264.5798,280.0735,284.4604,276.3712
2024-06-23,260.7033,273.9873,279.2483,271.313
2024-06-24,308.9125,290.6246,280.0933,293.2101
2024-06-25,301.014,284.5767,279.5108,288.3672
2024-06-26,269.8877,258.6227,259.72,262.7435
2024-06-27,284.2319,277.1885,276.7344,279.3849
2024-06-28,283.9044,283.1021,282.8106,283.2724
2024-06-29,238.8375,243.2323,244.3729,242.1476
2024-06-30,247.7671,253.8242,258.079,253.2234
