date,fuel,generation_mwh
2020-01-01,Gas,8740.053
2020-01-01,Geothermal,20916.695
2020-01-01,Hydro,58792.681
2020-01-01,Liquid fuel,0.0
2020-01-01,Wind,8135.508
2020-01-01,Wood,787.433
2020-01-02,Gas,8912.783
2020-01-02,Geothermal,20706.057
2020-01-02,Hydro,58243.7
2020-01-02,Liquid fuel,0.0
2020-01-02,Wind,8604.465
2020-01-02,Wood,732.045
2020-01-03,Gas,9021.526
2020-01-03,Geothermal,20656.505
2020-01-03,Hydro,64015.433
2020-01-03,Liquid fuel,0.0
2020-01-03,Wind,6849.449
2020-01-03,Wood,709.57
2020-01-04,Gas,9671.46
2020-01-04,Geothermal,20691.745
2020-01-04,Hydro,62233.454
2020-01-04,Liquid fuel,0.0
2020-01-04,Wind,4829.457
2020-01-04,Wood,703.658
2020-01-05,Gas,9423.37
2020-01-05,Geothermal,20633.202
2020-01-05,Hydro,59749.319
2020-01-05,Liquid fuel,0.0
2020-01-05,Wind,8516.437
2020-01-05,Wood,714.891
2020-01-06,Coal,1802.066
2020-01-06,Gas,10351.178
2020-01-06,Geothermal,20458.174
2020-01-06,Hydro,65013.471
2020-01-06,Liquid fuel,0.0
2020-01-06,Wind,8605.522
2020-01-06,Wood,723.79
2020-01-07,Coal,3479.041
2020-01-07,Gas,13064.929
2020-01-07,Geothermal,20802.807
2020-01-07,Hydro,65465.686
2020-01-07,Liquid fuel,0.0
2020-01-07,Wind,5101.294
2020-01-07,Wood,742.703
2020-01-08,Coal,7226.862
2020-01-08,Gas,13017.268
2020-01-08,Geothermal,20943.214
2020-01-08,Hydro,66152.676
2020-01-08,Liquid fuel,0.0
2020-01-08,Wind,1618.188
2020-01-08,Wood,737.4
2020-01-09,Coal,6193.9
2020-01-09,Gas,11607.545
2020-01-09,Geothermal,21022.716
2020-01-09,Hydro,66563.663
2020-01-09,Liquid fuel,0.0
2020-01-09,Wind,4267.973
2020-01-09,Wood,633.604
2020-01-10,Coal,6571.482
2020-01-10,Gas,12063.046
2020-01-10,Geothermal,20974.634
2020-01-10,Hydro,64783.981
2020-01-10,Liquid fuel,0.0
