date,active_storage_mm3,contingent_storage_mm3,total_usable_storage_mm3
1980-01-01,8433.207,0.0,0.0
1980-01-02,8421.262,0.0,0.0
1980-01-03,8405.831,0.0,0.0
1980-01-04,8345.337,0.0,0.0
1980-01-05,8289.511,0.0,0.0
1980-01-06,8234.182,0.0,0.0
1980-01-07,8167.199,0.0,0.0
1980-01-08,8103.03,0.0,0.0
1980-01-09,8055.888,0.0,0.0
1980-01-10,8017.764,0.0,0.0
1980-01-11,7968.306,0.0,0.0
1980-01-12,7933.092,0.0,0.0
1980-01-13,7897.972,0.0,0.0
1980-01-14,7840.475,0.0,0.0
1980-01-15,7814.913,0.0,0.0
1980-01-16,7899.547,0.0,0.0
1980-01-17,8073.54,0.0,0.0
1980-01-18,8085.059,0.0,0.0
1980-01-19,8107.27,0.0,0.0
1980-01-20,8179.462,0.0,0.0
1980-01-21,8271.907,0.0,0.0
1980-01-22,8279.519,0.0,0.0
1980-01-23,8274.585,0.0,0.0
1980-01-24,8252.191,0.0,0.0
1980-01-25,8243.342,0.0,0.0
1980-01-26,8221.893,0.0,0.0
1980-01-27,8666.668,0.0,0.0
1980-01-28,8941.078,0.0,0.0
1980-01-29,8914.321,0.0,0.0
1980-01-30,8843.506,0.0,0.0
1980-01-31,8760.748,0.0,0.0
1980-02-01,8697.147,0.0,0.0
1980-02-02,8635.97,0.0,0.0
1980-02-03,8599.848,0.0,0.0
1980-02-04,8669.702,0.0,0.0
1980-02-05,8648.469,0.0,0.0
1980-02-06,8568.305,0.0,0.0
1980-02-07,8508.692,0.0,0.0
1980-02-08,8478.973,0.0,0.0
1980-02-09,8432.028,0.0,0.0
1980-02-10,8485.441,0.0,0.0
1980-02-11,8461.384,0.0,0.0
1980-02-12,8380.727,0.0,0.0
1980-02-13,8286.813,0.0,0.0
1980-02-14,8186.594,0.0,0.0
1980-02-15,8096.47,0.0,0.0
1980-02-16,8010.162,0.0,0.0
1980-02-17,7922.344,0.0,0.0
1980-02-18,7850.87,0.0,0.0
1980-02-19,7799.206,0.0,0.0
1980-02-20,7758.868,0.0,0.0
1980-02-21,7723.174,0.0,0.0
1980-02-22,7677.037,0.0,0.0
1980-02-23,7634.018,0.0,0.0
1980-02-24,7577.595,0.0,0.0
1980-02-25,7539.279,0.0,0.0
1980-02-26,7599.383,0.0,0.0
1980-02-27,7624.239,0.0,0.0
1980-02-28,7608.173,0.0,0.0
1980-02-29,7571.589,0.0,0.0
1980-03-01,7540.646,0.0,0.0
1980-03-02,7507.018,0.0,0.0
1980-03-03,7474.909,0.0,0.0
1980-03-04,7454.363,0.0,0.0
1980-03-05,7417.842,0.0,0.0
1980-03-06,7384.619,0.0,0.0
1980-03-07,7351.742,0.0,0.0
1980-03-08,7318.586,0.0,0.0
1980-03-09,7283.62,0.0,0.0
1980-03-10,7260.951,0.0,0.0
1980-03-11,7250.08,0.0,0.0
