year,sosa_domestic_solar_battery_gwh,demand_excl_demand_response_gwh,effective_nzwem_demand_gwh
2026,166.234142,24310.153526,23823.950456
2027,228.198585,25320.02383,24813.623354
2028,297.556041,26090.588859,25568.777082
2029,367.87085,27398.572007,26850.600566
2030,425.901487,28433.506193,27864.836069
2031,480.054557,29407.059921,28818.918722
2032,543.962747,30092.209679,29490.365485
2033,610.971027,30860.955792,30243.736676
2034,686.50895,31594.46161,30962.572378
2035,767.547938,32318.037493,31671.676743
