year,si_solar_battery_peak_contribution_mw,ni_solar_battery_peak_contribution_mw,nz_solar_battery_peak_contribution_mw,si_peak_demand_excl_demand_response_mw,ni_peak_demand_excl_demand_response_mw
2026,12.709943,23.259012,35.968956,2505.75113,4854.820229
2027,15.405427,28.168315,43.573742,2640.734646,5017.042994
2028,18.760947,33.650352,52.4113,2715.024294,5163.937021
2029,23.630246,42.444968,66.075214,2882.622052,5349.668392
2030,27.736173,49.686665,77.422837,2994.782938,5513.575754
2031,31.561264,56.691314,88.252578,3101.551559,5674.912251
2032,36.02552,65.482014,101.507534,3161.830434,5795.680821
2033,39.429613,73.194967,112.62458,3233.890181,5926.063764
2034,43.938715,82.565371,126.504086,3296.864839,6047.121406
2035,48.788263,90.882999,139.671263,3347.371014,6162.302662
