year,sensitivity,stage1_existing_committed_mw,stage2_plus_consented_likely_mw,stage3_plus_likely_consent_2y_mw
2026,reference,920.969051304191,921.768851304191,921.768851304191
2027,reference,1076.3707005381,1108.23678093148,1112.77328093148
2028,reference,1089.5103251859,1735.47908929528,1796.22419256013
2029,reference,841.752975514117,1732.17708336801,2055.52207853413
2030,reference,587.506076995771,1601.85139763131,2121.36154047618
2031,reference,410.131141648483,1442.2478893472,2212.92380217823
2032,reference,245.516548283504,1298.94121568556,2118.09055130225
2033,reference,55.9675616474294,1114.91261964502,2011.49073716999
2034,reference,-111.894383795975,992.069521547976,1974.16676752476
2035,reference,-263.556937296306,852.158162069578,1842.22041507491
2026,constrained_operational_capacity_low_wind_solar,325.677583852732,325.677583852732,325.677583852732
2027,constrained_operational_capacity_low_wind_solar,454.683571743735,458.651154600617,458.651154600617
2028,constrained_operational_capacity_low_wind_solar,435.825596823725,929.739880241477,937.526755295919
2029,constrained_operational_capacity_low_wind_solar,170.083800723903,819.762684870209,976.271651597959
2030,constrained_operational_capacity_low_wind_solar,-87.2890085070291,649.69064232562,862.306297424811
2031,constrained_operational_capacity_low_wind_solar,-267.403247868507,480.925294890291,752.146352835914
2032,constrained_operational_capacity_low_wind_solar,-433.361454095931,319.526538281036,612.628200971906
2033,constrained_operational_capacity_low_wind_solar,-622.764044550245,130.356556983647,435.446368426162
2034,constrained_operational_capacity_low_wind_solar,-792.765101550783,4.82403610111703,387.218674927611
2035,constrained_operational_capacity_low_wind_solar,-944.417389078411,-136.719784513293,245.319255747874
