year,sensitivity,stage1_existing_committed_pct,stage2_plus_consented_likely_pct,stage3_plus_likely_consent_2y_pct
2026,reference,18.7711673105244,18.8278235716214,18.8278235716214
2027,reference,16.0207265362672,17.799284331307,18.1067605817388
2028,reference,14.0147134475168,21.7194413485714,25.9927534071408
2029,reference,8.67123964671816,19.2529714293072,27.6251845965147
2030,reference,5.34038943515675,17.6406746471629,31.1321921608855
2031,reference,1.72457031858399,13.7009185419837,32.2726517592823
2032,reference,-0.431007992304991,11.6291156680549,30.7111899582332
2033,reference,-2.77191191564691,8.98779413317911,29.1948653646592
2034,reference,-4.59786850835255,7.27638579255975,27.0143243250091
2035,reference,-6.47797092561108,5.21567835130817,24.5117008228908
2026,low_wind_solar,17.581819949189,17.6329502845461,17.6329502845461
2027,low_wind_solar,14.716421861207,16.3215093617169,16.598996147723
2028,low_wind_solar,12.63999495811,19.5932480282672,23.4497658148227
2029,low_wind_solar,7.32079256958123,16.8704431152932,24.4260787790688
2030,low_wind_solar,4.03909655009042,15.1865862270666,27.3972213686503
2031,low_wind_solar,0.466358285442677,11.3280756439758,28.1222726744703
2032,low_wind_solar,-1.66057279581575,9.27553153595139,26.5625966013525
2033,low_wind_solar,-3.97084826692125,6.69283776837078,24.9935263367128
2034,low_wind_solar,-5.76897003685639,5.03470974043242,22.9105246928091
2035,low_wind_solar,-7.62285246292889,3.02419156535303,20.4997818582219
