year,small_solar_20pct_mw,ev_count_eeca_ccc,ev_count_mot,ev_feedin_eeca_current_mw,ev_feedin_eeca_future_mw,ev_feedin_mot_current_mw,ev_feedin_mot_future_mw,eeca_current_at_or_above_solar,eeca_future_at_or_above_solar,mot_current_at_or_above_solar,mot_future_at_or_above_solar
2026,808.295,118906,115054,139.714,291.318,135.189,281.883,False,False,False,False
2027,957.894,179074,161755,210.412,438.732,190.062,396.3,False,False,False,False
2028,1126.817,266033,229249,312.589,651.782,269.368,561.661,False,False,False,False
2029,1314.788,387621,323621,455.455,949.673,380.255,792.872,False,False,False,False
2030,1520.649,550000,449653,646.25,1347.5,528.343,1101.65,False,False,False,False
2031,1742.296,754045,608025,886.002,1847.409,714.429,1489.66,False,True,False,False
2032,1976.718,991704,792486,1165.252,2429.674,931.171,1941.591,False,True,False,False
2033,2220.149,1245218,989255,1463.132,3050.785,1162.374,2423.674,False,True,False,True
2034,2468.327,1491516,1180422,1752.532,3654.215,1386.995,2892.033,False,True,False,True
2035,2716.824,1710000,1350000,2009.25,4189.5,1586.25,3307.5,False,True,False,True
