year,household_solar_incremental_mw,generation_pipeline_total_mw,generation_plus_household_total_mw,storage_power_total_mw,combined_generation_and_storage_power_mw,committed_geothermal_known_date_mw,committed_geothermal_unknown_date_mw,committed_hydro_known_date_mw,committed_hydro_unknown_date_mw,committed_onshore_wind_known_date_mw,committed_onshore_wind_unknown_date_mw,committed_offshore_wind_known_date_mw,committed_offshore_wind_unknown_date_mw,committed_utility_solar_known_date_mw,committed_utility_solar_unknown_date_mw,committed_gas_known_date_mw,committed_gas_unknown_date_mw,committed_bess_known_date_mw,committed_bess_unknown_date_mw,committed_pumped_hydro_known_date_mw,committed_pumped_hydro_unknown_date_mw,actively_pursued_geothermal_known_date_mw,actively_pursued_geothermal_unknown_date_mw,actively_pursued_hydro_known_date_mw,actively_pursued_hydro_unknown_date_mw,actively_pursued_onshore_wind_known_date_mw,actively_pursued_onshore_wind_unknown_date_mw,actively_pursued_offshore_wind_known_date_mw,actively_pursued_offshore_wind_unknown_date_mw,actively_pursued_utility_solar_known_date_mw,actively_pursued_utility_solar_unknown_date_mw,actively_pursued_gas_known_date_mw,actively_pursued_gas_unknown_date_mw,actively_pursued_bess_known_date_mw,actively_pursued_bess_unknown_date_mw,actively_pursued_pumped_hydro_known_date_mw,actively_pursued_pumped_hydro_unknown_date_mw,other_early-stage_geothermal_known_date_mw,other_early-stage_geothermal_unknown_date_mw,other_early-stage_hydro_known_date_mw,other_early-stage_hydro_unknown_date_mw,other_early-stage_onshore_wind_known_date_mw,other_early-stage_onshore_wind_unknown_date_mw,other_early-stage_offshore_wind_known_date_mw,other_early-stage_offshore_wind_unknown_date_mw,other_early-stage_utility_solar_known_date_mw,other_early-stage_utility_solar_unknown_date_mw,other_early-stage_gas_known_date_mw,other_early-stage_gas_unknown_date_mw,other_early-stage_bess_known_date_mw,other_early-stage_bess_unknown_date_mw,other_early-stage_pumped_hydro_known_date_mw,other_early-stage_pumped_hydro_unknown_date_mw
2026,57.07899999999995,7063.666666666667,7120.745666666667,1521.0,8641.745666666666,290.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.7333333333333334,21.0,3.933333333333333,1294.0,196.0,0.0,0.0,3907.0,334.0,0.0,24.0,1217.0,204.0,0.0,0.0
2027,207.64,12276.333333333334,12483.973333333333,2216.0,14699.973333333333,290.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,68.0,0.0,0.0,200.0,0.0,0.0,0.0,50.0,7.466666666666667,21.0,7.866666666666666,3474.0,392.0,0.0,0.0,5837.0,668.0,0.0,48.0,1508.0,408.0,0.0,0.0
2028,377.65599999999995,17768.0,18145.656,3837.0,21982.656,290.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,987.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,762.0,102.0,0.0,0.0,277.0,0.0,0.0,0.0,50.0,11.2,21.0,11.799999999999999,4984.0,588.0,0.0,0.0,8237.0,1002.0,0.0,72.0,2848.0,612.0,0.0,0.0
2029,566.8399999999999,21221.666666666668,21788.506666666668,4661.0,26449.506666666668,290.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,987.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,1062.0,136.0,0.0,0.0,277.0,0.0,0.0,0.0,50.0,14.933333333333334,21.0,15.733333333333333,5222.0,784.0,0.0,0.0,10557.0,1336.0,0.0,96.0,3468.0,816.0,0.0,0.0
2030,774.01,22721.33333333334,23495.343333333338,4905.0,28400.343333333338,290.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,987.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,1062.0,170.0,0.0,0.0,277.0,0.0,0.0,0.0,50.0,18.666666666666668,21.0,19.666666666666664,6126.0,980.0,0.0,0.0,10557.0,1670.0,0.0,120.0,3468.0,1020.0,40.0,0.0
2031,997.029,29962.000000000004,30959.029000000002,5109.0,36068.029,290.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,987.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,810.0,0.0,1062.0,204.0,0.0,0.0,277.0,0.0,0.0,0.0,50.0,22.400000000000002,21.0,23.599999999999998,6626.0,1176.0,4910.0,0.0,10877.0,2004.0,0.0,144.0,3468.0,1224.0,40.0,0.0
2032,1232.843,31557.666666666664,32790.509666666665,5313.0,38103.509666666665,290.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,987.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,810.0,0.0,1062.0,238.0,0.0,0.0,277.0,0.0,0.0,0.0,50.0,26.133333333333336,61.0,27.53333333333333,6776.0,1372.0,5720.0,0.0,10877.0,2338.0,0.0,168.0,3468.0,1428.0,40.0,0.0
2033,1477.643,33663.33333333333,35140.97633333333,5517.0,40657.97633333333,290.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,987.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,810.0,0.0,1062.0,272.0,0.0,0.0,277.0,0.0,0.0,0.0,50.0,29.86666666666667,61.0,31.466666666666665,7076.0,1568.0,6530.0,0.0,11277.0,2672.0,0.0,192.0,3468.0,1632.0,40.0,0.0
2034,1727.121,34259.0,35986.121,5721.0,41707.121,290.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,987.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,810.0,0.0,1062.0,306.0,0.0,0.0,277.0,0.0,0.0,0.0,50.0,33.6,61.0,35.4,7076.0,1764.0,6530.0,0.0,11277.0,3006.0,0.0,216.0,3468.0,1836.0,40.0,0.0
2035,1976.812,34854.666666666664,36831.47866666666,5925.0,42756.47866666666,290.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,987.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,810.0,0.0,1062.0,340.0,0.0,0.0,277.0,0.0,0.0,0.0,50.0,37.333333333333336,61.0,39.33333333333333,7076.0,1960.0,6530.0,0.0,11277.0,3340.0,0.0,240.0,3468.0,2040.0,40.0,0.0
