year,baseline_twh,household_solar_twh,mbie_constraint_twh,mbie_reference_twh,mbie_innovation_twh,full_pipeline_top_twh
2026,42.398,0.011859945912365517,42.105,42.398,45.006,46.76019274591238
2027,42.398,0.13109308120299945,42.572,43.616,46.817,57.88878948120299
2028,42.398,0.2876916314039928,43.017,44.341,48.23,71.454553631404
2029,42.398,0.46055622216366227,43.526,45.459,50.05,81.79450782216367
2030,42.398,0.6487798187168456,44.101,46.181,52.386,87.68835301871687
2031,42.398,0.850696845032578,44.76,47.009,53.957,104.75087564503256
2032,42.398,1.0638743588298607,45.315,47.828,55.498,122.36515075882986
2033,42.398,1.285184361259365,45.842,48.638,57.026,128.7703783612594
2034,42.398,1.5109610745784237,46.418,49.518,58.545,133.05577267457844
2035,42.398,1.7372306113702112,47.026,50.503,60.75,134.69175981137022
2036,42.398,1.959984537301309,47.684,51.557,62.063,138.5142313373013
2037,42.398,2.1754584609437275,48.36,52.638,63.268,142.32942286094374
2038,42.398,2.3803755654982077,49.053,53.746,64.389,143.94405756549824
2039,42.398,2.572123364050812,49.741,54.848,65.454,145.54552296405083
2040,42.398,2.7488469748511735,50.466,55.92,66.434,147.1319641748512
