date,grid_export_mwh,source_rows
2024-01-01,81608.412,236
2024-01-02,84671.801,236
2024-01-03,92150.422,236
2024-01-04,93642.005,236
2024-01-05,95744.522,236
2024-01-06,90670.005,236
2024-01-07,91444.689,236
2024-01-08,100697.774,236
2024-01-09,103198.965,236
2024-01-10,104823.534,236
2024-01-11,104919.081,236
2024-01-12,104391.945,236
2024-01-13,96931.949,236
2024-01-14,95665.846,236
2024-01-15,104016.385,236
2024-01-16,105911.015,236
2024-01-17,109115.922,236
2024-01-18,110182.806,236
2024-01-19,109026.78,236
2024-01-20,100270.247,236
2024-01-21,99849.862,236
2024-01-22,109911.313,236
2024-01-23,105423.121,236
2024-01-24,99698.87,236
2024-01-25,101482.027,236
2024-01-26,101192.805,236
2024-01-27,91817.579,236
2024-01-28,93602.995,236
2024-01-29,98031.741,236
2024-01-30,106110.335,236
2024-01-31,108953.564,236
2024-02-01,107146.668,236
2024-02-02,103935.89,236
2024-02-03,93353.27,236
2024-02-04,90600.062,236
2024-02-05,98774.452,236
2024-02-06,96316.521,236
2024-02-07,106399.5,236
2024-02-08,107152.178,236
2024-02-09,106596.744,236
2024-02-10,95911.937,236
2024-02-11,91166.351,236
2024-02-12,101406.387,236
2024-02-13,102701.143,236
2024-02-14,103895.825,236
2024-02-15,106320.309,236
2024-02-16,105851.504,236
2024-02-17,97357.231,236
2024-02-18,94096.526,236
2024-02-19,104480.861,236
2024-02-20,104942.534,236
2024-02-21,105526.133,236
2024-02-22,107612.167,236
2024-02-23,105116.205,236
2024-02-24,96841.299,236
2024-02-25,96339.47,236
2024-02-26,105746.919,236
2024-02-27,105997.018,236
2024-02-28,105817.026,236
2024-02-29,105376.18,236
2024-03-01,103230.265,235
2024-03-02,93826.009,235
2024-03-03,92800.885,235
2024-03-04,101759.496,235
2024-03-05,99678.017,235
2024-03-06,103425.295,235
2024-03-07,103232.882,235
2024-03-08,101792.647,235
2024-03-09,93986.38,235
2024-03-10,92100.772,235
2024-03-11,102058.329,235
2024-03-12,105453.761,235
2024-03-13,104560.021,235
2024-03-14,104703.824,235
2024-03-15,102988.156,235
2024-03-16,92504.343,235
2024-03-17,91658.859,235
2024-03-18,100589.713,235
2024-03-19,104393.047,235
2024-03-20,104678.874,235
2024-03-21,104122.252,235
2024-03-22,104393.806,235
2024-03-23,96794.225,235
