date,site_code,poc_code,network_code,generator_code,fuel_code,tech_code,generation_mwh
2020-01-01,MKE,MKE1101,TGTL,McKee,Gas,Thrml,0.0
2020-01-01,NAP,NAP2202,MRPL,Ngatamariki,Geo,Geo,2000.759
2020-01-01,HWB,HWB0331,DUNE,Waipori,Hydro,Hydro,87.201
2020-01-01,MAT,MAT1101,BOPD,aniwhenua,Hydro,Hydro,417.741
2020-01-01,ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,1676.816
2020-01-01,ARI,ARI1102,MRPL,arapuni,Hydro,Hydro,73.377
2020-01-01,ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,439.92
2020-01-01,ARG,ARG1101,TRUS,argyle_wairau,Hydro,Hydro,0.0
2020-01-01,ATI,ATI2201,MRPL,atiamuri,Hydro,Hydro,537.957
2020-01-01,AVI,AVI2201,MERI,aviemore,Hydro,Hydro,0.0
2020-01-01,BEN,BEN2202,MERI,benmore,Hydro,Hydro,4414.004
2020-01-01,CYD,CYD2201,CTCT,clyde,Hydro,Hydro,3813.019
2020-01-01,STK,STK0661,TASM,cobb,Hydro,Hydro,197.83
2020-01-01,COL,COL0661,TRUS,coleridge,Hydro,Hydro,927.91
2020-01-01,GLN,GLN0332,NZST,glenbrook_kilns,Gas,Cogen,1698.944
2020-01-01,ASB,ASB0661,EASH,highbank,Hydro,Hydro,0.0
2020-01-01,HLY,HLY2201,GENE,huntly_e3p,Gas,Thrml,6028.258
2020-01-01,KPA,KPA1101,KAPE,kapuni,Gas,Cogen,355.254
2020-01-01,KPO,KPO1101,MRPL,karapiro,Hydro,Hydro,976.28
2020-01-01,KAW,KAW0111,HEDL,kawerau,Geo,Geo,324.802
2020-01-01,KAW,KAW1101,KRGL,kawerau_new,Geo,Geo,2543.808
2020-01-01,KIN,KIN0112,POCO,kinleith,Wood,Cogen,787.433
2020-01-01,MAN,MAN2201,MERI,manapouri,Hydro,Hydro,17672.151
2020-01-01,MHO,MHO0331,ELEC,mangahao,Hydro,Hydro,0.0
2020-01-01,MTI,MTI2201,MRPL,maraetai,Hydro,Hydro,1506.37
2020-01-01,MAT,MAT1101,TRUS,matahina,Hydro,Hydro,795.683
2020-01-01,WIL,WIL0331,CKHK,mill_creek,Wind,Wind,1033.522
2020-01-01,WKM,WKM2201,TUAR,mokai,Geo,Geo,2096.161
2020-01-01,NAP,NAP2201,NAPJ,nap,Geo,Geo,3378.459
2020-01-01,KOE,KOE1101,TOPE,ngawha,Geo,Geo,552.995
2020-01-01,KAW,KAW0112,SKOG,norskeskog,Geo,Geo,411.594
2020-01-01,OKI,OKI2201,CTCT,ohaaki,Geo,Geo,836.311
2020-01-01,OHK,OHK2201,MRPL,ohakuri,Hydro,Hydro,794.885
2020-01-01,OHA,OHA2201,MERI,ohau_a,Hydro,Hydro,4239.273
2020-01-01,OHB,OHB2201,MERI,ohau_b,Hydro,Hydro,3630.372
2020-01-01,OHC,OHC2201,MERI,ohau_c,Hydro,Hydro,3592.759
2020-01-01,NSY,NSY0331,OTPO,paerau,Hydro,Hydro,94.453
2020-01-01,HWA,HWA1101,TRUS,patea,Hydro,Hydro,133.523
2020-01-01,PPI,PPI2201,CTCT,poihipi,Geo,Geo,1003.568
2020-01-01,RPO,RPO2201,GENE,rangipo,Hydro,Hydro,1060.405
2020-01-01,WRK,WRK0331,HAWK,rotokawa,Geo,Geo,594.674
2020-01-01,ROX,ROX1101,CTCT,roxburgh,Hydro,Hydro,1287.287
2020-01-01,ROX,ROX2201,CTCT,roxburgh,Hydro,Hydro,2115.894
2020-01-01,SWN,SWN2201,MRPL,southdown,Gas,Thrml,1.353
2020-01-01,SFD,SFD2201,CTCT,stratford,Gas,Thrml,0.0
2020-01-01,WDV,WDV1101,MERI,te_apiti,Wind,Wind,1259.847
2020-01-01,THI,THI2201,CTCT,te_mihi,Geo,Geo,3820.572
2020-01-01,TWH,TWH0331,WAIK,te_rapa,Gas,Cogen,410.568
2020-01-01,TWC,TWC2201,TRPG,te_rere_hau,Wind,Wind,527.253
2020-01-01,TWH,TWH0331,WAIK,te_uku,Wind,Wind,508.409
2020-01-01,WRK,WRK0331,HAWK,tehuka,Geo,Geo,558.449
2020-01-01,TKA,TKA0111,GENE,tekapo_a,Hydro,Hydro,605.201
2020-01-01,TKB,TKB2201,GENE,tekapo_b,Hydro,Hydro,2958.958
