point_of_connection,network,island,reconciled_injection_mwh,generation_md_mwh,reconciled_minus_generation_md_mwh,generation_md_share_of_reconciled_pct
MAT1101,CNIR,NI,363707.522,120951.318,242756.204,33.2551
HWB0331,OTPO,SI,177509.126,205.858,177303.268,0.116
KAW0111,HEDL,NI,192728.039,87320.694,105407.345,45.3077
MHO0331,ELEC,NI,108730.127,9288.596,99441.531,8.5428
CYD0331,DUNE,SI,127896.166,32434.285,95461.881,25.3599
STK0661,TASM,SI,125511.552,30579.123,94932.429,24.3636
SVL0331,UNET,NI,89680.476,0.0,89680.476,0.0
HKK0661,WPOW,SI,80360.653,0.0,80360.653,0.0
WKM2201,TUAR,NI,1277201.162,1207230.383,69970.779,94.5216
BOB1101,COUP,NI,59038.414,0.0,59038.414,0.0
KUM0661,WPOW,SI,41946.364,0.0,41946.364,0.0
TAK0331,VECT,NI,39021.053,0.0,39021.053,0.0
HTI0331,LINE,NI,35926.974,0.0,35926.974,0.0
CML0331,DUNE,SI,34780.154,0.0,34780.154,0.0
WRK0331,HAWK,NI,425090.217,390621.711,34468.506,91.8915
HUI0331,POCO,NI,34169.579,0.0,34169.579,0.0
NMA0331,TPCO,SI,193594.266,162662.255,30932.011,84.0222
ONG0331,LINE,NI,30900.646,0.0,30900.646,0.0
DOB0331,WPOW,SI,27450.891,0.0,27450.891,0.0
ASB0661,EASH,SI,114646.801,89425.492,25221.309,78.0009
INV0331,TPCO,SI,23624.471,0.0,23624.471,0.0
ISL0661,ORON,SI,22285.528,0.0,22285.528,0.0
BLN0331,MARL,SI,22256.579,0.0,22256.579,0.0
BAL0331,OTPO,SI,21628.399,0.0,21628.399,0.0
CST0331,POCO,NI,21346.798,0.0,21346.798,0.0
RDF0331,HAWK,NI,19149.978,0.0,19149.978,0.0
MPE1101,NPOW,NI,18543.609,0.0,18543.609,0.0
MCH0111,TASM,SI,17951.065,0.0,17951.065,0.0
WPR0661,MPOW,SI,17913.563,0.0,17913.563,0.0
FKN0331,LLNW,SI,17459.636,0.0,17459.636,0.0
TUI1101,GENE,NI,451060.691,434064.096,16996.595,96.2319
ORO1102,BUEL,SI,16792.687,0.0,16792.687,0.0
GYT0331,POCO,NI,16343.417,0.0,16343.417,0.0
ABY0111,ALPE,SI,13905.475,0.0,13905.475,0.0
HAY0331,CKHK,NI,13649.574,0.0,13649.574,0.0
GLN0332,NZST,NI,591139.432,579460.151,11679.281,98.0243
CPK0111,CKHK,NI,10767.375,0.0,10767.375,0.0
GOR0331,TPCO,SI,155673.16,146147.351,9525.809,93.8809
STK0331,TASM,SI,9404.96,0.0,9404.96,0.0
SFD0331,POCO,NI,8930.03,0.0,8930.03,0.0
ROT0331,HAWK,NI,8196.145,0.0,8196.145,0.0
WKO0331,POCO,NI,8159.68,0.0,8159.68,0.0
KOE1101,TOPE,NI,510131.314,502026.585,8104.729,98.4112
BRY0661,ORON,SI,7651.461,0.0,7651.461,0.0
ATI2201,MRPL,NI,271926.898,265210.31,6716.588,97.53
MTM0331,POCO,NI,6293.121,0.0,6293.121,0.0
HLY0331,WAIK,NI,6108.011,4.886,6103.125,0.08
TKU0331,LINE,NI,5848.163,0.0,5848.163,0.0
MST0331,POCO,NI,5783.294,0.0,5783.294,0.0
NSY0331,OTPO,SI,60717.011,54934.355,5782.656,90.4761
MTO0331,NPOW,NI,5148.82,0.0,5148.82,0.0
KMO0331,POCO,NI,5052.798,0.0,5052.798,0.0
HAM0331,WAIK,NI,5028.851,0.0,5028.851,0.0
ISL0331,ORON,SI,4991.245,0.0,4991.245,0.0
SBK0661,MPOW,SI,4654.525,0.0,4654.525,0.0
HWA0331,POCO,NI,4624.832,0.0,4624.832,0.0
TGA0331,POCO,NI,188965.392,184409.52,4555.872,97.589
EDG0331,HEDL,NI,40736.753,36530.02,4206.733,89.6734
ALB0331,UNET,NI,3885.206,0.0,3885.206,0.0
PRM0331,ELEC,NI,3742.848,0.0,3742.848,0.0
TWH0331,WAIK,NI,204238.894,200567.489,3671.405,98.2024
WTU0331,HAWK,NI,3671.19,0.0,3671.19,0.0
BRB0331,NPOW,NI,3520.933,0.0,3520.933,0.0
PEN0331,VECT,NI,3375.202,0.0,3375.202,0.0
CBG0111,WAIP,NI,3247.037,0.0,3247.037,0.0
BPE0331,POCO,NI,114040.781,110883.273,3157.508,97.2312
FHL0331,HAWK,NI,2908.322,0.0,2908.322,0.0
PAK0331,VECT,NI,2861.863,0.0,2861.863,0.0
HEN0331,UNET,NI,2730.92,0.0,2730.92,0.0
TMU0111,WAIP,NI,2698.688,0.0,2698.688,0.0
OKN0111,POCO,NI,2549.061,0.0,2549.061,0.0
HEP0331,VECT,NI,2304.124,0.0,2304.124,0.0
KPU0661,POCO,NI,2254.822,0.0,2254.822,0.0
OTA0221,VECT,NI,2250.442,0.0,2250.442,0.0
WIR0331,VECT,NI,2213.481,0.0,2213.481,0.0
WEL0331,UNET,NI,2180.126,0.0,2180.126,0.0
KAI0111,MPOW,SI,2138.883,0.0,2138.883,0.0
TKR0331,CKHK,NI,2075.481,0.0,2075.481,0.0
GFD0331,CKHK,NI,2062.385,0.0,2062.385,0.0
MNG0331,VECT,NI,1966.423,0.0,1966.423,0.0
LTN0331,POCO,NI,114823.13,113008.222,1814.908,98.4194
TMI0331,POCO,NI,1721.809,0.0,1721.809,0.0
WPW0331,CHBP,NI,1699.65,0.0,1699.65,0.0
ROS0221,VECT,NI,1697.163,0.0,1697.163,0.0
SWN0251,NZRN,NI,1332.039,0.0,1332.039,0.0
TIM0111,ALPE,SI,1331.045,0.0,1331.045,0.0
TGA0111,POCO,NI,1227.038,0.0,1227.038,0.0
CPK0331,CKHK,NI,1205.908,0.0,1205.908,0.0
PEN1101,VECT,NI,1152.611,0.0,1152.611,0.0
ALB1101,UNET,NI,1087.102,0.0,1087.102,0.0
ROS1101,VECT,NI,1078.412,0.0,1078.412,0.0
BRK0331,POCO,NI,1021.613,0.0,1021.613,0.0
WRD0331,UNET,NI,996.102,0.0,996.102,0.0
PEN0251,NZRN,NI,916.404,0.0,916.404,0.0
WPR0331,MPOW,SI,897.876,0.0,897.876,0.0
HAM0111,WAIK,NI,852.159,0.0,852.159,0.0
OAM0331,WATA,SI,851.037,0.0,851.037,0.0
PAO1101,POCO,NI,848.624,0.0,848.624,0.0
ASY0111,MPOW,SI,838.502,0.0,838.502,0.0
UHT0331,CKHK,NI,829.339,0.0,829.339,0.0
HIN0331,POCO,NI,806.637,0.0,806.637,0.0
NWD0661,ORON,SI,804.838,0.0,804.838,0.0
WHU0331,POCO,NI,786.453,0.0,786.453,0.0
HOR0331,ORON,SI,757.05,0.0,757.05,0.0
PEN0221,VECT,NI,747.828,0.0,747.828,0.0
TAB0331,HAWK,NI,40258.137,39555.057,703.08,98.2536
WIL0331,CKHK,NI,235108.213,234408.974,699.239,99.7026
WTK0111,WATA,SI,482665.974,481993.737,672.237,99.8607
TMK0331,ALPE,SI,661.539,0.0,661.539,0.0
WGN0331,POCO,NI,656.259,0.0,656.259,0.0
PNI0331,CKHK,NI,623.444,0.0,623.444,0.0
MTN0331,POCO,NI,613.435,0.0,613.435,0.0
ROT0111,HAWK,NI,592.862,0.0,592.862,0.0
TWZ0331,WATA,SI,588.951,0.0,588.951,0.0
OWH0111,HAWK,NI,543.117,0.0,543.117,0.0
SDN0331,DUNE,SI,540.426,0.0,540.426,0.0
DVK0111,SCAN,NI,515.895,0.0,515.895,0.0
MLG0331,CKHK,NI,495.756,0.0,495.756,0.0
TRK0111,HAWK,NI,483.157,0.0,483.157,0.0
ARI1102,POCO,NI,333607.139,333137.592,469.547,99.8593
KIN0331,POCO,NI,432.536,0.0,432.536,0.0
HAY0111,CKHK,NI,371.245,0.0,371.245,0.0
WAI0111,HEDL,NI,358.53,0.0,358.53,0.0
MLG0111,CKHK,NI,330.184,0.0,330.184,0.0
OPK0331,POCO,NI,282.724,0.0,282.724,0.0
CUL0331,MPOW,SI,263.64,0.0,263.64,0.0
MGM0331,POCO,NI,256.986,0.0,256.986,0.0
HOB1101,VECT,NI,254.122,0.0,254.122,0.0
CUL0661,MPOW,SI,244.471,0.0,244.471,0.0
KWA0111,CKHK,NI,235.236,0.0,235.236,0.0
STU0111,ALPE,SI,204.009,0.0,204.009,0.0
KIK0111,TASM,SI,139.456,0.0,139.456,0.0
KBY0661,ORON,SI,130.173,0.0,130.173,0.0
GYM0661,WPOW,SI,119.543,0.0,119.543,0.0
TNG0551,NZRN,NI,116.3,0.0,116.3,0.0
TKA0331,ALPE,SI,115.696,0.0,115.696,0.0
TMN0551,NZRN,NI,104.146,0.0,104.146,0.0
WVY0111,POCO,NI,100.238,0.0,100.238,0.0
CLH0111,ORON,SI,93.611,0.0,93.611,0.0
BOB0331,COUP,NI,87.634,0.0,87.634,0.0
MTR0331,POCO,NI,73.706,0.0,73.706,0.0
WDV0111,SCAN,NI,64.147,0.0,64.147,0.0
HOR0661,ORON,SI,63.567,0.0,63.567,0.0
ORO1101,BUEL,SI,55.187,0.0,55.187,0.0
BPD1101,ALPE,SI,52.088,0.0,52.088,0.0
BPE0551,NZRN,NI,47.86,0.0,47.86,0.0
NPK0331,LINE,NI,41.971,0.0,41.971,0.0
HAM0551,NZRN,NI,34.702,0.0,34.702,0.0
EDN0331,TPCO,SI,21.721,0.0,21.721,0.0
WAI0501,HEDL,NI,19.392,0.0,19.392,0.0
TWC2201,TRPG,NI,413360.872,413345.098,15.774,99.9962
RFN1102,WPOW,SI,2.894,0.0,2.894,0.0
RFN1101,WPOW,SI,1.836,0.0,1.836,0.0
HWA1101,TODD,NI,165207.865,165207.699,0.166,99.9999
KIN0112,POCO,NI,242715.827,242715.734,0.093,100.0
KAW0112,CHHE,NI,240564.526,240564.44,0.086,100.0
ROT1101,CNIR,NI,80501.918,80501.832,0.086,99.9999
KPA1101,KAPE,NI,56367.795,56367.713,0.082,99.9999
HWA1102,TODD,NI,76783.256,76783.176,0.08,99.9999
BWK1101,CNIR,SI,90772.235,90772.169,0.066,99.9999
JRD1101,TODD,NI,273332.026,273331.983,0.043,100.0
ARG1101,CNIR,SI,36329.989,36329.947,0.042,99.9999
MKE1101,TODD,NI,129811.719,129811.694,0.025,100.0
ARA2201,MRPL,NI,320231.603,320231.603,-0.0,100.0
ARI1101,MRPL,NI,491460.28,491460.28,-0.0,100.0
AVI2201,MERI,SI,934520.093,934520.093,-0.0,100.0
BEN2202,MERI,SI,2249126.597,2249126.597,0.0,100.0
COL0661,CNIR,SI,246960.632,246960.632,0.0,100.0
CYD2201,CTCT,SI,2072273.927,2072273.927,-0.0,100.0
HRP2201,MERI,NI,437234.099,437234.099,-0.0,100.0
KAW1101,KRGL,NI,878739.254,878739.254,-0.0,100.0
KPO1101,MRPL,NI,486793.65,486793.65,-0.0,100.0
LTN2201,MRPL,NI,795724.008,795724.008,0.0,100.0
MAN2201,MERI,SI,4824046.143,4824046.143,-0.0,100.0
MTI2201,MRPL,NI,852247.12,852247.12,0.0,100.0
NAP2201,NAPJ,NI,1219746.909,1219746.909,-0.0,100.0
NAP2202,MRPL,NI,718127.713,718127.713,0.0,100.0
OHA2201,MERI,SI,1113109.261,1113109.261,-0.0,100.0
OHB2201,MERI,SI,930010.365,930010.365,0.0,100.0
OHC2201,MERI,SI,926061.71,926061.71,0.0,100.0
OHK2201,MRPL,NI,383557.49,383557.49,0.0,100.0
OKI2201,CTCT,NI,310305.637,310305.637,0.0,100.0
PPI2201,CTCT,NI,252161.962,252161.962,-0.0,100.0
ROX1101,CTCT,SI,558249.425,558249.425,0.0,100.0
ROX2201,CTCT,SI,1033487.292,1033487.292,0.0,100.0
RPO2201,GENE,NI,501299.223,501299.223,-0.0,100.0
SFD2201,CTCT,NI,1290746.49,1290746.49,-0.0,100.0
TAB2201,CTCT,NI,710814.772,710814.772,0.0,100.0
THI2201,CTCT,NI,1268111.054,1268111.054,0.0,100.0
TKA0111,GENE,SI,116395.606,116395.606,-0.0,100.0
TKB2201,GENE,SI,808724.501,808724.501,0.0,100.0
TKU2201,GENE,NI,662161.821,662161.821,-0.0,100.0
WAI0331,LODE,NI,30.355,30.355,0.0,100.0
WDV1101,MERI,NI,236337.589,236337.589,-0.0,100.0
WHI2201,CTCT,NI,19053.075,19053.075,0.0,100.0
WPA2201,MRPL,NI,221893.933,221893.933,0.0,100.0
WRK2201,CTCT,NI,1080492.012,1080492.012,0.0,100.0
WVY1101,WPWF,NI,446278.624,446278.624,-0.0,100.0
WWD1102,MERI,NI,433758.334,433758.334,0.0,100.0
WWD1103,MERI,NI,38381.759,38381.759,0.0,100.0
HLY2201,GENE,NI,3514866.68,3542132.29,-27265.61,100.7757
WPG0331,,,0.0,174685.639,-174685.639,
