date,reconciled_offtake_mwh,reconciled_injection_mwh,offtake_rows,injection_rows
2024-01-01,92729.608,95336.618,153246,39618
2024-01-02,94130.972,96769.302,153597,38902
2024-01-03,99946.245,102941.798,153914,38176
2024-01-04,103573.733,106587.04,153927,37341
2024-01-05,104611.419,107624.737,154066,33995
2024-01-06,99411.94,102144.608,153958,37801
2024-01-07,99009.859,101758.165,153941,38592
2024-01-08,108916.97,112080.453,153880,38358
2024-01-09,112565.408,115912.954,153907,38113
2024-01-10,113994.054,117333.074,154170,37668
2024-01-11,114651.911,118235.702,154191,37975
2024-01-12,113956.678,117407.513,153896,38399
2024-01-13,106672.072,109873.154,153827,38468
2024-01-14,105231.054,108510.043,153795,37358
2024-01-15,113736.24,117523.844,152998,32811
2024-01-16,114763.25,118771.223,152470,37862
2024-01-17,117540.696,121616.186,153167,37109
2024-01-18,118670.48,122810.982,153018,36268
2024-01-19,118963.465,122822.209,153078,34975
2024-01-20,110007.185,113387.135,152751,36301
2024-01-21,108075.807,111540.046,153035,37323
2024-01-22,118338.149,122622.749,152874,35456
2024-01-23,116769.246,121373.375,152663,35371
2024-01-24,109319.208,113688.6,152245,37889
2024-01-25,110358.049,114742.522,152882,37537
2024-01-26,110198.443,114247.633,153261,37482
2024-01-27,102688.398,105990.25,152873,33873
2024-01-28,102906.78,106135.357,153289,32042
2024-01-29,106925.61,110282.774,152846,36743
2024-01-30,115582.321,119825.419,153527,37339
2024-01-31,117960.374,122411.982,153835,36990
2024-02-01,115985.897,119930.615,153789,37064
2024-02-02,114732.332,118654.717,154013,33491
2024-02-03,103585.931,106584.844,154379,36341
2024-02-04,100712.353,103616.886,154404,38215
2024-02-05,109722.32,113278.972,154109,37535
2024-02-06,106203.318,109466.559,154497,36399
2024-02-07,115536.258,119333.87,154255,36325
2024-02-08,117052.818,120963.014,154641,35704
2024-02-09,115195.38,119000.673,154543,35600
2024-02-10,105820.274,109006.259,154183,35209
2024-02-11,100377.046,103200.155,153781,37641
2024-02-12,110226.199,113705.732,153518,37532
2024-02-13,111878.141,115500.713,153176,37375
2024-02-14,113816.984,117524.402,153658,37082
2024-02-15,115694.972,119441.019,154005,35953
2024-02-16,114887.971,118522.896,154494,36320
2024-02-17,105843.607,108885.474,154742,36086
2024-02-18,103896.006,106929.071,154260,36767
2024-02-19,115528.84,119369.509,154203,35365
2024-02-20,115557.105,119293.762,153956,36222
2024-02-21,114434.751,117799.142,154065,36740
2024-02-22,115744.603,119261.778,154251,35441
2024-02-23,114301.92,117697.035,154300,35248
2024-02-24,106783.611,109833.53,154712,34262
2024-02-25,104935.777,107905.628,154641,33366
2024-02-26,114246.641,117636.216,154499,32043
2024-02-27,114927.105,118363.014,154220,34141
2024-02-28,114305.402,117664.518,154134,35161
2024-02-29,113769.828,116954.762,153815,35884
2024-03-01,112172.518,115381.1,155008,35969
2024-03-02,103411.335,106332.703,154937,33965
2024-03-03,102702.817,105563.563,154898,32119
2024-03-04,113130.1,116836.704,155097,29080
2024-03-05,112023.34,115730.668,155025,34903
2024-03-06,112751.349,116392.265,154722,36098
2024-03-07,113744.079,117492.705,154964,33474
2024-03-08,112548.719,115939.642,155305,35485
2024-03-09,104161.372,107133.662,155392,35477
2024-03-10,101946.758,104797.002,155396,35875
2024-03-11,112956.707,116514.521,154118,33109
2024-03-12,114021.271,117617.827,153785,32333
2024-03-13,114190.29,117646.798,154242,32935
2024-03-14,113619.901,117002.28,154548,33606
2024-03-15,113724.948,117002.382,154468,29703
2024-03-16,102531.7,105379.282,154148,35433
2024-03-17,100556.1,103297.027,154144,34406
2024-03-18,110532.879,113750.037,154196,33941
2024-03-19,112292.289,115603.191,154246,34670
2024-03-20,112517.976,115853.008,154349,34700
2024-03-21,112274.672,115570.955,154122,34684
2024-03-22,112193.281,115476.782,154426,33851
2024-03-23,104504.693,107584.468,155136,31295
2024-03-24,102048.964,104931.541,155112,33505
2024-03-25,112192.607,115620.958,154263,33073
2024-03-26,114511.015,117978.1,154102,33236
2024-03-27,115217.471,118795.118,153804,32237
2024-03-28,116256.392,119867.013,154284,31977
2024-03-29,104344.536,107323.772,154742,34003
2024-03-30,103496.292,106594.856,154753,33709
2024-03-31,101020.402,103988.235,154791,33173
2024-04-01,102808.067,105747.714,156202,31947
2024-04-02,112288.224,115795.002,155766,31301
2024-04-03,113356.679,116881.401,155221,31870
2024-04-04,113590.223,117137.125,154525,29961
2024-04-05,112508.187,115990.185,154915,31407
2024-04-06,104290.51,107243.875,155262,31983
2024-04-07,106692.792,109786.723,161483,32768
2024-04-08,112615.092,115971.01,154543,32292
2024-04-09,113014.528,116159.944,154335,30544
2024-04-10,112436.437,115628.491,153986,29953
2024-04-11,114647.346,118150.516,154545,25705
2024-04-12,114864.938,118395.045,154949,26336
2024-04-13,105164.707,108165.482,154569,29771
2024-04-14,101763.546,104663.938,154026,31262
2024-04-15,111666.647,115470.657,154159,31628
2024-04-16,113131.625,117079.26,153950,31641
2024-04-17,112343.523,116237.637,154157,31638
2024-04-18,112466.578,116294.576,154454,32026
2024-04-19,113650.554,117126.439,155011,30136
2024-04-20,106588.909,109735.2,155637,26846
2024-04-21,103248.233,106115.958,155133,29505
2024-04-22,114004.907,117408.101,155017,31218
2024-04-23,115449.497,118985.561,155134,32096
2024-04-24,115193.103,118646.635,155536,31564
2024-04-25,106356.801,109366.63,156530,28707
2024-04-26,111811.892,114955.726,156129,30652
2024-04-27,108343.01,111225.46,156086,31950
2024-04-28,105884.805,108817.965,155883,32297
2024-04-29,116843.078,120278.193,154606,31002
2024-04-30,117215.282,120538.8,153383,30919
2024-05-01,118894.826,122488.807,154723,27943
2024-05-02,119263.247,122812.641,155430,29543
2024-05-03,119453.18,123008.748,155826,30311
2024-05-04,110407.032,113628.448,156757,30362
2024-05-05,107815.431,110907.238,156725,30014
2024-05-06,119611.908,123145.698,156171,28361
2024-05-07,123691.797,127455.408,155946,29594
2024-05-08,127554.787,131475.032,155689,29905
2024-05-09,131083.318,135111.697,155499,29742
2024-05-10,131644.859,135539.278,156558,30025
2024-05-11,119267.378,122711.392,157103,29698
2024-05-12,117245.423,120778.688,156932,28451
2024-05-13,125627.21,129437.387,156466,27402
2024-05-14,128705.366,132580.489,155966,27227
2024-05-15,122705.582,126346.773,155094,26681
2024-05-16,122667.446,126184.249,155150,28014
2024-05-17,121964.651,125387.829,155590,28921
2024-05-18,115074.393,118411.533,155985,28240
2024-05-19,114211.155,117478.152,156124,27957
2024-05-20,128875.07,133067.891,156672,25595
2024-05-21,124512.299,128826.134,156182,24513
2024-05-22,122710.908,126779.885,155727,27557
2024-05-23,125331.841,129296.288,155863,27274
2024-05-24,126861.83,130789.802,156487,27063
2024-05-25,116901.637,120155.025,156230,28076
2024-05-26,113964.169,117305.259,156277,28531
2024-05-27,126815.701,130823.568,156215,27770
2024-05-28,129739.331,133969.574,156190,27814
2024-05-29,134282.134,138580.598,156305,25995
2024-05-30,128622.507,132465.287,155833,28502
2024-05-31,120372.72,123988.815,155570,27700
2024-06-01,107649.039,110631.579,156565,26373
2024-06-02,105837.321,108804.749,156641,26930
2024-06-03,110397.959,113563.965,156650,26792
2024-06-04,124374.455,128316.136,156012,27386
2024-06-05,128327.518,132450.661,156453,27070
2024-06-06,125665.684,129475.669,156103,25415
2024-06-07,121454.376,125062.538,156515,26227
2024-06-08,110923.618,114284.155,157053,27571
2024-06-09,110680.467,114341.348,157278,23599
2024-06-10,116483.103,120172.036,155773,25408
2024-06-11,123420.991,127077.173,155981,26878
2024-06-12,129563.403,133624.946,157179,25963
2024-06-13,127134.055,131102.022,156795,24582
2024-06-14,122817.962,126593.92,156639,22522
2024-06-15,111516.532,114820.11,156626,27061
2024-06-16,111819.207,115101.019,156217,26830
2024-06-17,121728.757,125520.692,156321,25089
2024-06-18,121816.558,125454.034,155644,26146
2024-06-19,126021.295,129736.264,155836,26391
2024-06-20,125451.162,129214.799,156195,26869
2024-06-21,123959.928,127697.859,156880,28009
2024-06-22,115447.746,119104.124,157212,26466
2024-06-23,114088.843,117852.444,156992,24465
2024-06-24,126104.501,130109.27,157071,25404
2024-06-25,126937.736,130731.931,156756,24291
2024-06-26,123264.47,126879.791,157028,26308
2024-06-27,123189.085,126707.438,157758,27909
2024-06-28,116061.705,119231.968,158425,27703
2024-06-29,113072.94,116185.976,158494,27109
2024-06-30,116011.48,119423.573,158381,26387
2024-07-01,126710.731,130682.318,157032,22586
2024-07-02,128127.985,132151.984,156759,26531
2024-07-03,131462.281,135688.96,156958,28155
2024-07-04,135486.872,139922.624,156926,28381
2024-07-05,136183.335,140545.412,156906,28692
2024-07-06,123483.402,127212.892,157175,27970
