point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,13905.475
ALB0331,UNET,NI,3885.206
ALB1101,UNET,NI,1087.102
ARA2201,MRPL,NI,320231.603
ARG1101,CNIR,SI,36329.989
ARI1101,MRPL,NI,491460.28
ARI1102,MRPL,NI,333137.592
ARI1102,POCO,NI,469.547
ASB0661,EASH,SI,114646.801
ASY0111,MPOW,SI,838.502
ATI2201,MRPL,NI,271926.898
AVI2201,MERI,SI,934520.093
BAL0331,OTPO,SI,21628.399
BEN2202,MERI,SI,2249126.597
BLN0331,MARL,SI,22256.579
BOB0331,COUP,NI,87.634
BOB1101,COUP,NI,59038.414
BPD1101,ALPE,SI,52.088
BPE0331,POCO,NI,114040.781
BPE0551,NZRN,NI,47.86
BRB0331,NPOW,NI,3520.933
BRK0331,POCO,NI,1021.613
BRY0661,ORON,SI,7651.461
BWK1101,CNIR,SI,90772.235
CBG0111,WAIP,NI,3247.037
CLH0111,ORON,SI,93.611
CML0331,DUNE,SI,34780.154
COL0661,CNIR,SI,246960.632
CPK0111,CKHK,NI,10767.375
CPK0331,CKHK,NI,1205.908
CST0331,POCO,NI,21346.798
CUL0331,MPOW,SI,263.64
CUL0661,MPOW,SI,244.471
CYD0331,DUNE,SI,127896.166
CYD2201,CTCT,SI,2072273.927
DOB0331,WPOW,SI,27450.891
DVK0111,SCAN,NI,515.895
EDG0331,HEDL,NI,40736.753
EDN0331,TPCO,SI,21.721
FHL0331,HAWK,NI,2908.322
FKN0331,DUNE,SI,16911.029
FKN0331,LLNW,SI,548.607
GFD0331,CKHK,NI,2062.385
GLN0332,COUP,NI,11670.494
GLN0332,NZST,NI,579468.938
GOR0331,TPCO,SI,155673.16
GYM0661,WPOW,SI,119.543
GYT0331,POCO,NI,16343.417
HAM0111,WAIK,NI,852.159
HAM0331,WAIK,NI,5028.851
HAM0551,NZRN,NI,34.702
HAY0111,CKHK,NI,371.245
HAY0331,CKHK,NI,13649.574
HEN0331,UNET,NI,2730.92
HEP0331,UNET,NI,2001.197
HEP0331,VECT,NI,302.927
HIN0331,POCO,NI,806.637
HKK0661,WPOW,SI,80360.653
HLY0331,WAIK,NI,6108.011
HLY2201,GENE,NI,3514866.68
HOB1101,VECT,NI,254.122
HOR0331,ORON,SI,757.05
HOR0661,ORON,SI,63.567
HRP2201,MERI,NI,437234.099
HTI0331,LINE,NI,35926.974
HUI0331,POCO,NI,34169.579
HWA0331,POCO,NI,4624.832
HWA1101,CNIR,NI,89580.138
HWA1101,TODD,NI,75627.727
HWA1102,TODD,NI,76783.256
HWB0331,DUNE,SI,177109.387
HWB0331,OTPO,SI,399.739
INV0331,ELIN,SI,485.062
INV0331,TPCO,SI,23139.409
ISL0331,ORON,SI,4991.245
