point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,3893.865
ALB0331,UNET,NI,447.715
ALB1101,UNET,NI,113.233
ARA2201,MRPL,NI,23032.46
ARG1101,CNIR,SI,4661.583
ARI1101,MRPL,NI,39368.049
ARI1102,MRPL,NI,31100.806
ARI1102,POCO,NI,50.203
ASB0661,EASH,SI,13856.483
ASY0111,MPOW,SI,105.727
ATI2201,MRPL,NI,21116.495
AVI2201,MERI,SI,78461.523
BAL0331,OTPO,SI,1511.754
BEN2202,MERI,SI,178929.236
BLN0331,MARL,SI,2344.507
BOB1101,COUP,NI,5336.67
BPD1101,ALPE,SI,5.201
BPE0331,POCO,NI,10149.461
BPE0551,NZRN,NI,12.592
BRB0331,NPOW,NI,148.379
BRK0331,POCO,NI,116.658
BRY0661,ORON,SI,933.897
BWK1101,CNIR,SI,1914.56
CBG0111,WAIP,NI,351.298
CLH0111,ORON,SI,8.085
CML0331,DUNE,SI,3878.409
COL0661,CNIR,SI,25694.793
CPK0111,CKHK,NI,1077.57
CPK0331,CKHK,NI,124.839
CST0331,POCO,NI,2245.199
CUL0331,MPOW,SI,36.547
CUL0661,MPOW,SI,28.688
CYD0331,DUNE,SI,15350.61
CYD2201,CTCT,SI,223468.306
DOB0331,WPOW,SI,2686.199
DVK0111,SCAN,NI,57.104
EDG0331,HEDL,NI,5535.495
EDN0331,TPCO,SI,2.851
FHL0331,HAWK,NI,356.036
FKN0331,DUNE,SI,1697.736
FKN0331,LLNW,SI,63.573
GFD0331,CKHK,NI,199.607
GLN0332,COUP,NI,1343.034
GLN0332,NZST,NI,36996.938
GOR0331,TPCO,SI,10005.862
GYM0661,WPOW,SI,11.722
GYT0331,POCO,NI,1489.72
HAM0111,WAIK,NI,94.264
HAM0331,WAIK,NI,563.791
HAM0551,NZRN,NI,8.768
HAY0111,CKHK,NI,41.556
HAY0331,CKHK,NI,1483.474
HEN0331,UNET,NI,304.142
HEP0331,UNET,NI,220.993
HEP0331,VECT,NI,30.319
HIN0331,POCO,NI,97.657
HKK0661,WPOW,SI,7925.489
HLY0331,WAIK,NI,934.093
HLY2201,GENE,NI,213945.702
HOB1101,VECT,NI,24.453
HOR0331,ORON,SI,95.244
HOR0661,ORON,SI,7.149
HRP2201,MERI,NI,60506.305
HTI0331,LINE,NI,4382.059
HUI0331,POCO,NI,2157.079
HWA0331,POCO,NI,509.852
HWA1101,CNIR,NI,9404.799
HWA1101,TODD,NI,2279.644
HWA1102,TODD,NI,2071.551
HWB0331,DUNE,SI,10531.742
HWB0331,OTPO,SI,41.421
INV0331,ELIN,SI,49.546
INV0331,TPCO,SI,1844.428
ISL0331,ORON,SI,619.076
ISL0661,ORON,SI,2628.24
JRD1101,TODD,NI,573.189
KAI0111,MPOW,SI,258.847
KAW0111,HEDL,NI,17688.564
KAW0112,CHHE,NI,21456.918
KAW1101,KRGL,NI,77835.69
KBY0661,ORON,SI,15.604
KIK0111,TASM,SI,13.286
KIN0112,POCO,NI,22262.722
KIN0331,POCO,NI,45.309
KMO0331,POCO,NI,480.079
KOE1101,TOPE,NI,35168.734
KPA1101,KAPE,NI,2870.145
KPO1101,MRPL,NI,42761.04
KPU0661,POCO,NI,246.555
KUM0661,WPOW,SI,4734.057
KWA0111,CKHK,NI,17.627
LTN0331,POCO,NI,10072.382
LTN2201,MRPL,NI,68754.393
MAN2201,MERI,SI,462238.783
MAT1101,BOPD,NI,13662.039
MAT1101,CNIR,NI,28587.165
MCH0111,TASM,SI,2372.053
MGM0331,POCO,NI,38.664
MHO0331,ELEC,NI,10486.621
MKE1101,TODD,NI,47.244
MLG0111,CKHK,NI,34.689
MLG0331,CKHK,NI,56.203
MNG0331,VECT,NI,214.961
MPE1101,NPOW,NI,2227.795
MST0331,POCO,NI,542.917
MTI2201,MRPL,NI,69605.04
MTM0331,POCO,NI,480.942
MTN0331,POCO,NI,100.105
MTO0331,NPOW,NI,912.77
MTR0331,POCO,NI,9.717
NAP2201,NAPJ,NI,106202.903
NAP2202,MRPL,NI,41682.098
NMA0331,TPCO,SI,16162.022
NPK0331,LINE,NI,4.24
NSY0331,OTPO,SI,8103.996
NWD0661,ORON,SI,73.89
OAM0331,WATA,SI,105.973
OHA2201,MERI,SI,62326.38
OHB2201,MERI,SI,52873.01
OHC2201,MERI,SI,52570.9
OHK2201,MRPL,NI,29588.48
OKI2201,CTCT,NI,26697.082
OKN0111,LINE,NI,11.245
OKN0111,POCO,NI,218.468
ONG0331,LINE,NI,3251.491
OPK0331,POCO,NI,30.032
ORO1101,BUEL,SI,5.304
ORO1102,BUEL,SI,1922.475
OTA0221,VECT,NI,216.278
OWH0111,HAWK,NI,58.548
PAK0331,VECT,NI,300.702
PAO1101,POCO,NI,92.15
PEN0221,VECT,NI,81.982
PEN0251,NZRN,NI,71.726
PEN0331,VECT,NI,349.873
PEN1101,VECT,NI,102.324
PNI0331,CKHK,NI,66.676
PPI2201,CTCT,NI,7871.939
PRM0331,ELEC,NI,390.393
RDF0331,HAWK,NI,2050.275
RFN1101,WPOW,SI,0.372
RFN1102,WPOW,SI,0.279
ROS0221,VECT,NI,193.233
ROS1101,VECT,NI,116.77
ROT0111,HAWK,NI,65.648
ROT0331,HAWK,NI,412.657
ROT1101,CNIR,NI,9603.926
ROX1101,CTCT,SI,71727.305
ROX2201,CTCT,SI,102999.687
RPO2201,GENE,NI,53500.649
SBK0661,MPOW,SI,515.312
SDN0331,DUNE,SI,59.048
SFD0331,POCO,NI,265.355
SFD2201,CTCT,NI,29921.273
STK0331,NELS,SI,109.807
STK0331,TASM,SI,814.265
STK0661,TASM,SI,14116.934
STU0111,ALPE,SI,26.419
SVL0331,UNET,NI,8365.091
SWN0251,NZRN,NI,125.443
TAB0331,HAWK,NI,576.461
TAB2201,CTCT,NI,108572.224
TAK0331,VECT,NI,3887.038
TGA0111,POCO,NI,150.31
