date,reconciled_offtake_mwh,reconciled_injection_mwh,offtake_rows,injection_rows
2024-11-01,107494.345,111482.686,158063,37846
2024-11-02,100322.803,103533.568,158433,37530
2024-11-03,100548.577,103836.276,158320,40010
2024-11-04,110166.429,115066.173,158666,38696
2024-11-05,110688.685,115448.503,159333,36352
2024-11-06,110089.282,115051.651,159698,36509
2024-11-07,110077.699,115023.872,159723,37503
2024-11-08,109723.171,114566.441,159888,36995
2024-11-09,101540.442,105572.313,160018,37529
2024-11-10,100760.133,104992.623,159914,36537
2024-11-11,110001.586,114928.123,159976,38399
2024-11-12,111006.233,116130.804,160230,39963
2024-11-13,110878.466,116271.228,160138,38286
2024-11-14,111932.667,116920.478,160114,34508
2024-11-15,111018.097,115927.834,159700,31812
2024-11-16,101637.497,104794.103,158632,39440
2024-11-17,99306.312,102750.262,158666,40398
2024-11-18,107817.18,112622.162,158968,41165
2024-11-19,109202.472,113839.988,159574,39827
2024-11-20,110788.076,115307.453,159800,39408
2024-11-21,112792.254,117275.665,159909,39071
2024-11-22,111158.053,115844.802,159724,40662
2024-11-23,102728.397,106751.014,160288,37972
2024-11-24,100189.885,104060.239,160148,40717
2024-11-25,110246.318,115642.104,159912,40014
2024-11-26,113867.893,119468.832,160065,38303
2024-11-27,113585.055,118397.535,160804,39238
2024-11-28,113976.883,118788.834,161041,39121
2024-11-29,112869.485,117707.978,160105,38384
2024-11-30,104947.953,109062.835,160398,37020
