Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,1998-10-01,24770,20760,26180,22050,12680,15710,20530,23790,24330,22760,22530,23480,27930,28170,28190,28190,28020,28020,28060,28120,15870,14690,14680,14670,14650,14650,14650,14580,14550,25430,28160,28230,27720,16000,23100,28340,28410,28370,28380,28370,28390,28370,28440,27430,19210,17500,14720,14760,,
ARG,ARG1101,TRUS,argyle_wairau,Hydro,Hydro,1998-10-01,5193,5196,1940,1917,1944,1944,1952,1972,1974,1970,1970,1970,1965,1934,5152,5194,5187,5181,5180,5180,5180,5175,5178,5180,5182,5180,5181,3903,3952,3970,3969,3936,3914,5234,5240,5228,5223,5217,5196,5186,5199,5193,5190,5190,5136,5142,5145,5150,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,1998-10-01,76490,76560,74980,68530,60810,48500,41900,41830,41810,41820,39690,38600,40660,55100,62870,64220,65270,65370,65550,65760,65970,65720,66170,66080,65840,65970,65990,66010,66000,66010,65970,65950,65900,72510,74920,75090,75390,75080,75060,75140,75390,75130,76910,70490,75690,75060,72130,56830,,
ATI,ATI2201,MRPL,atiamuri,Hydro,Hydro,1998-10-01,5790,2360,130,2140,1630,2130,2300,2010,2000,2800,6280,12730,23210,31470,33950,37240,37200,37300,37280,37270,37290,31400,28960,29200,29180,29200,29210,25260,19710,16640,7230,9090,8990,20700,36470,37140,37130,37150,37190,37240,37290,37300,30020,21330,10740,4840,7350,9610,,
AVI,AVI2201,MERI,aviemore,Hydro,Hydro,1998-10-01,17620,0,0,0,0,0,0,0,16120,43260,43220,44010,42480,42320,42970,46410,49610,50160,49540,48970,49940,68850,69750,76070,61490,54650,54380,54090,54300,53850,55340,91160,100510,87130,63240,73470,79090,90240,92710,65800,58710,57500,41400,39070,69890,106140,104040,67360,,
BEN,BEN2202,MERI,benmore,Hydro,Hydro,1998-10-01,180350,143330,157550,119380,98700,97830,77130,72840,62320,47970,92110,87390,35820,64320,49250,121820,128100,138810,141410,141020,133170,182320,171100,186830,243830,219250,217910,218330,212680,213240,204220,222260,220470,170000,102070,104460,99950,142820,153980,139430,84650,71630,84280,136570,153940,214710,208800,211560,,
BWK,BWK1101,TRUS,waipori,Hydro,Hydro,1998-10-01,2358,2388,612,0,0,0,0,0,0,0,0,0,0,2652,12774,13620,13266,12168,12168,12180,3846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,11508,12510,12570,12564,4404,0,0,12,0,0,0,,
COB,COB0661,CTCT,cobb,Hydro,Hydro,1998-10-01,15480,15570,15700,15540,15570,15560,15660,15560,15630,15610,15630,15690,15540,15550,15600,15590,15640,15590,15550,15590,15540,15560,15650,15600,15510,15610,15600,15590,15590,15580,15640,15450,15610,15570,15590,15640,15470,15640,15570,15530,15610,15560,15630,15610,15650,15520,15550,15640,,
COL,COL0661,TRUS,coleridge,Hydro,Hydro,1998-10-01,14250,14260,14270,14230,14250,14260,14250,14220,14270,14280,14260,14280,14160,14230,14240,14250,14240,14260,14290,14300,14290,14310,14310,14320,14290,14330,14270,14280,14290,14290,14310,14260,14300,14230,14240,14240,14220,14250,14250,14270,14250,14230,14260,14260,14250,14210,14250,14270,,
CYD,CYD2201,CTCT,clyde,Hydro,Hydro,1998-10-01,72650,82290,45490,37290,36990,36930,37560,37080,37430,37390,37380,117550,147560,151190,154340,157160,194630,210900,208410,199100,171340,122850,113750,118400,88690,83960,93480,89740,90740,85970,86910,85030,115160,125560,151830,157020,162040,195700,194530,193900,195280,194350,196030,186530,86620,0,0,0,,
GLN,GLN0111,ALNT,glenbrook_kilns,Gas,Cogen,1998-10-01,24835,24835,24864,24288,24547,24768,24960,25315,24998,24730,24936,24917,25114,25152,25133,25229,24864,22099,24470,25123,24965,25306,25315,24317,23904,23846,23606,22795,22488,23650,23894,23837,23837,23837,23482,23280,23366,23683,23626,23645,23530,23549,23376,22762,23174,23568,21168,17654,,
HLY,HLY2201,GENE,huntly_1_4,Coal,Thrml,1998-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,20910,52490,54370,53210,52510,53050,53720,55940,55070,52340,21340,0,0,0,0,0,0,0,0,27110,52610,55110,55170,55110,55000,54660,54760,54980,56170,21180,0,0,0,0,0,,
HWA,HWA1101,TRUS,patea,Hydro,Hydro,1998-10-01,3512,3516,3516,3516,3516,3524,3516,3516,3512,3504,3508,3500,3496,3484,4432,4468,4468,4476,4476,4476,4484,4484,4480,4484,4476,4480,4480,4492,4484,4488,4480,4480,4472,4468,4460,4456,4468,4464,4468,4476,4476,4480,4488,4500,4504,4512,3568,3524,,
HWA,HWA1102,KIWI,whareroa,Gas,Cogen,1998-10-01,8376,8466,8184,8056,8209,8129,8225,8432,8336,8258,8048,8096,8154,8296,8360,8880,9055,9199,9319,9128,9046,9312,9023,8760,8081,7721,6786,7050,6635,6866,6699,6866,7130,7210,7186,6698,6970,7306,7338,7250,7522,7609,9239,12528,13758,13710,11281,5860,,
KIN,KIN0112,CHHE,kinleith,Wood,Cogen,1998-10-01,16034,16325,15361,15677,16096,14560,14815,14072,13042,11552,13112,11594,10599,8448,10098,10370,9056,7536,8308,8428,7783,8274,4465,3625,7047,7339,6409,6220,3794,0,65,927,0,0,0,0,0,0,0,0,0,0,0,5327,10467,11053,12948,12005,,
KPA,KPA1101,KAPE,kapuni,Gas,Cogen,1998-10-01,5494,2966,2916,2966,2984,2962,3004,3022,3052,3070,3040,3002,3020,2990,2986,3004,2926,3018,3002,2954,2910,2918,2914,2944,2958,2990,3034,3034,2994,3006,3112,6468,7782,7808,7740,7696,7734,7644,7654,7680,7678,7668,7908,7444,7716,7668,7694,7652,,
KPO,KPO1101,MRPL,karapiro,Hydro,Hydro,1998-10-01,32220,32270,31530,32070,31120,31950,32090,31720,31690,31660,31570,31530,31590,31370,31470,31600,31140,31070,31250,31450,31630,31530,31790,31790,31610,31640,31640,31660,31640,31650,31620,31580,31570,31840,31880,32060,32350,32290,32390,32480,32670,32630,33590,30750,33050,32830,32980,32960,,
MAN,MAN2201,MERI,manapouri,Hydro,Hydro,1998-10-01,296070,296130,296290,296100,296140,296020,296040,295900,295930,295540,295790,295790,295360,294500,294240,295470,295410,294240,294410,294560,294860,294960,295230,295170,294740,294980,295020,294650,294930,294600,295000,295600,296130,296010,295830,295810,295520,295540,295300,294300,294130,294380,295610,294740,294750,294950,294950,296100,,
MAT,MAT1101,TRUS,matahina,Hydro,Hydro,1998-10-01,19390,19470,17360,18730,16760,20540,21440,20010,19980,21290,22040,19010,18230,17380,17790,19080,18570,17830,17600,18850,18790,18670,17370,17150,17490,17700,17800,17990,21580,21590,21750,22560,22580,23230,22050,22210,22660,22310,22320,22460,22790,22510,25700,18620,18670,17070,17420,17170,,
MHO,MHO0331,KING,mangahao,Hydro,Hydro,1998-10-01,770,0,0,0,0,0,0,0,0,0,0,0,0,10660,12520,13210,13340,13290,13310,13340,13370,13320,13400,13370,13300,13330,13300,13320,13330,13310,11790,11780,11790,11900,11760,11780,11850,11760,11750,11770,11810,11750,12150,11220,11840,11730,11790,11740,,
MTI,MTI2201,MRPL,maraetai,Hydro,Hydro,1998-10-01,32550,27360,12120,14200,11670,14250,29380,26840,16890,28310,23750,37710,73980,80790,93650,115890,131340,129430,100540,105830,99450,59630,60000,57400,53040,57900,50220,41350,46470,39820,44570,56690,56710,75830,75830,80570,98610,101940,83960,74600,74010,67200,90690,43350,43000,18270,35210,11020,,
NPL,NPL1101,CTCT,new_plymouth,Gas&Oil,Thrml,1998-10-01,58490,58490,58490,58490,58520,58520,58520,58530,58540,58480,58390,58410,58400,58370,58370,58360,58340,58330,58430,58420,58430,58400,58420,58380,58380,58400,58400,58430,58480,58430,58470,58480,58490,58500,58520,58530,58540,58530,58520,58510,58520,58490,58480,58470,58450,58450,58450,58450,,
NPL,NPL2201,CTCT,new_plymouth,Gas&Oil,Thrml,1998-10-01,113160,113140,113150,113120,113140,113070,113100,113090,113090,113190,113120,113120,113130,113050,113090,113130,113090,113190,113110,113180,113140,113170,113140,113060,113120,113140,113090,113200,113140,113120,113140,113180,113160,113140,113170,113160,113150,113120,113200,113150,113110,113180,113120,113170,113120,113170,113100,113190,,
OHA,OHA2201,MERI,ohau_a,Hydro,Hydro,1998-10-01,83870,81470,55620,50240,48980,32200,25410,28740,30400,30540,30490,27470,8710,21670,19090,42280,50720,52850,56820,49200,58860,72260,78830,77500,92290,96110,90000,89350,89900,89440,91930,76670,61110,31240,29700,30440,27330,40610,50930,50220,51470,50430,51830,71800,78680,74650,75710,77710,,
OHB,OHB2201,MERI,ohau_b,Hydro,Hydro,1998-10-01,71650,72680,69110,57340,52250,35860,29920,25920,24530,19560,19580,10080,13010,5010,4620,14540,29610,37810,45470,36850,41900,45310,49970,68890,75580,77890,77880,77390,77780,77310,78850,62170,28630,23750,29390,29920,28020,34100,38860,38430,39240,38630,39520,63330,74790,73960,74870,76390,,
OHC,OHC2201,MERI,ohau_c,Hydro,Hydro,1998-10-01,72380,63560,60010,62130,50720,32570,28460,26580,25000,19790,19890,8810,20970,4390,4310,15260,30790,40570,44630,34380,42100,46460,49600,71550,75500,75690,75680,75760,75780,75800,75960,63220,26420,24490,29140,29520,29120,34120,39660,39430,39570,39410,39620,64650,76030,75840,75810,75410,,
OHK,OHK2201,MRPL,ohakuri,Hydro,Hydro,1998-10-01,0,0,0,0,0,0,0,0,4710,7900,12000,20710,35530,42730,46770,54070,53520,53350,53380,53440,53430,42790,40860,40770,40550,40630,40610,35440,26950,23770,10580,13890,13870,27440,51950,53660,53730,53480,53430,53370,53400,53260,39790,21500,14390,13480,13580,13540,,
OKI,OKI2201,CTCT,ohaaki,Geo,Geo,1998-10-01,25780,25510,25340,25900,26680,26760,26050,26140,26490,26840,27030,26970,26770,26740,26380,26150,26210,26310,26290,26090,26220,26570,26680,26520,26590,26860,27170,26850,26350,26090,26530,26500,26210,25970,26200,26390,26460,26510,27170,27570,27040,26650,26220,26400,26620,26420,26290,26460,,
OTA,OTA2202,CTCT,otahuhu_b,Gas,Thrml,1998-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OTA,OTA2221,CTCT,otahuhu_a,Gas,Thrml,1998-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PPI,PPI2201,MRPL,poihipi,Geo,Geo,1998-10-01,910,940,730,770,800,840,840,870,840,850,860,870,720,540,10710,18640,18610,18630,18630,18610,18600,18550,18500,18490,18470,18470,18470,18470,18470,18470,18470,18490,18520,18520,18530,18530,18550,18530,18510,18490,18480,18490,18570,18630,18650,18640,18600,8250,,
ROT,ROT1101,TRUS,wheao_flaxy,Hydro,Hydro,1998-10-01,7838,7802,7844,7873,7861,7914,7858,7852,7856,7834,7852,7904,7854,7964,9272,10200,10303,10435,10722,10812,10750,11134,11202,11244,11246,11228,11218,10496,9768,9762,10264,10750,11228,11260,11288,11452,11742,11680,11756,11625,11659,11640,9518,8350,8348,8328,8336,8354,,
ROX,ROX1101,CTCT,roxburgh,Hydro,Hydro,1998-10-01,18600,19820,12510,11690,12440,12370,12520,12360,12530,12480,12360,19190,18810,42790,59910,59720,59890,57770,57240,57920,57090,53230,55850,58480,34600,29040,28820,28630,28850,22030,17790,16090,18630,19640,43120,45010,58130,59800,59610,59750,59480,46100,20360,11670,17870,11260,9880,9980,,
ROX,ROX2201,CTCT,roxburgh,Hydro,Hydro,1998-10-01,0,0,0,0,0,0,0,0,0,0,0,0,34240,52880,59760,59540,59680,57220,56640,57340,56510,57500,59220,58250,52440,53730,53360,53150,53460,58670,73360,68980,75010,79210,78940,79430,79030,79440,79100,79170,79070,79550,79260,54250,40010,39760,39410,39820,,
